,company,state,location,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng
228,Canoo,California,Los Angeles,58.0,2022-07-01,6.0,967.0,909.0,Transportation,Post-IPO,$300,2022,34.05223,-118.24368
229,Sidecar Health,California,Los Angeles,110.0,2022-06-28,40.0,275.0,165.0,Healthcare,Series C,$163,2022,34.05223,-118.24368
230,Voyage SMS,California,Los Angeles,8.0,2022-06-23,13.0,62.0,54.0,Marketing,Unknown,$10,2022,34.05223,-118.24368
231,Community,California,Los Angeles,40.0,2022-06-21,30.0,133.0,93.0,Marketing,Unknown,$40,2022,34.05223,-118.24368
232,Wave Sports and Entertainment,California,Los Angeles,56.0,2022-06-13,33.0,170.0,114.0,Media,Series B,$65,2022,34.05223,-118.24368
233,Albert,California,Los Angeles,20.0,2022-06-10,8.0,250.0,230.0,Finance,Series C,$175,2022,34.05223,-118.24368
234,Bird,California,Los Angeles,138.0,2022-06-07,23.0,600.0,462.0,Transportation,Post-IPO,$783,2022,34.05223,-118.24368
235,Virgin Hyperloop,California,Los Angeles,111.0,2022-02-21,50.0,222.0,111.0,Transportation,Unknown,$368,2022,34.05223,-118.24368
236,Procore,California,Los Angeles,180.0,2020-07-28,9.0,2000.0,1820.0,Construction,Unknown,$649,2020,34.05223,-118.24368
237,Builder,California,Los Angeles,39.0,2020-06-04,14.0,279.0,240.0,Product,Series A,$29,2020,34.05223,-118.24368
238,TrueCar,California,Los Angeles,219.0,2020-05-28,30.0,730.0,511.0,Transportation,Post-IPO,$340,2020,34.05223,-118.24368
239,Rubicon Project,California,Los Angeles,50.0,2020-05-06,8.0,625.0,575.0,Marketing,Post-IPO,$60,2020,34.05223,-118.24368
240,OpenX,California,Los Angeles,35.0,2020-04-28,15.0,233.0,198.0,Marketing,Unknown,$70,2020,34.05223,-118.24368
241,Shipsi,California,Los Angeles,20.0,2020-04-28,50.0,40.0,20.0,Retail,Seed,$2,2020,34.05223,-118.24368
242,Divergent 3D,California,Los Angeles,57.0,2020-04-24,36.0,158.0,101.0,Transportation,Series B,$88,2020,34.05223,-118.24368
243,GumGum,California,Los Angeles,90.0,2020-04-20,25.0,360.0,270.0,Marketing,Series D,$58,2020,34.05223,-118.24368
244,Sweetgreen,California,Los Angeles,35.0,2020-04-17,10.0,350.0,315.0,Food,Series I,$478,2020,34.05223,-118.24368
245,VideoAmp,California,Los Angeles,21.0,2020-04-08,10.0,210.0,189.0,Marketing,Series C,$106,2020,34.05223,-118.24368
246,PatientPop,California,Los Angeles,100.0,2020-04-01,20.0,500.0,400.0,Healthcare,Series B,$75,2020,34.05223,-118.24368
247,PeerStreet,California,Los Angeles,51.0,2020-03-30,30.0,170.0,119.0,Finance,Series C,$110,2020,34.05223,-118.24368
248,ZipRecruiter,California,Los Angeles,400.0,2020-03-29,39.0,1026.0,626.0,Recruiting,Series B,$219,2020,34.05223,-118.24368
249,Bird,California,Los Angeles,406.0,2020-03-27,30.0,1353.0,947.0,Transportation,Series D,$623,2020,34.05223,-118.24368
250,GrayMeta,California,Los Angeles,20.0,2020-03-23,40.0,50.0,30.0,Data,Unknown,$7,2020,34.05223,-118.24368
251,HopSkipDrive,California,Los Angeles,8.0,2020-03-13,10.0,80.0,72.0,Transportation,Unknown,$45,2020,34.05223,-118.24368
252,Tamara Mellon,California,Los Angeles,20.0,2020-03-12,40.0,50.0,30.0,Retail,Series C,$90,2020,34.05223,-118.24368
253,ChowNow,California,Los Angeles,60.0,2024-03-28,20.0,300.0,240.0,Food,Series C,$64,2024,34.05223,-118.24368
255,Snap,California,Los Angeles,500.0,2024-02-05,10.0,5000.0,4500.0,Consumer,Post-IPO,"$4,900",2024,34.05223,-118.24368
256,Impact.com,California,Los Angeles,40.0,2024-02-05,3.0,1333.0,1293.0,Sales,Private …,$361,2024,34.05223,-118.24368
258,Riot Games,California,Los Angeles,530.0,2024-01-22,11.0,4818.0,4288.0,Consumer,Acquired,$21,2024,34.05223,-118.24368
264,Fetch,Wisconsin,Madison,100.0,2023-03-14,10.0,1000.0,900.0,Retail,Series E,$581,2023,43.07305,-89.40123
265,Redox,Wisconsin,Madison,44.0,2020-06-16,25.0,176.0,132.0,Healthcare,Series C,$50,2020,43.07305,-89.40123
267,Freightos,Florida,Miami,50.0,2023-07-12,13.0,385.0,335.0,Logistics,Post-IPO,$118,2023,25.77427,-80.19366
268,Springbig,Florida,Miami,37.0,2022-12-01,23.0,161.0,124.0,Sales,Post-IPO,$32,2022,25.77427,-80.19366
269,Picsart,Florida,Miami,90.0,2022-05-17,8.0,1125.0,1035.0,Consumer,Series C,$195,2022,25.77427,-80.19366
271,Magic Leap,Florida,Miami,1000.0,2020-04-22,50.0,2000.0,1000.0,Consumer,Series E,$2600,2020,25.77427,-80.19366
273,Citrix,Florida,Miami,1000.0,2024-01-10,12.0,8333.0,7333.333333333334,Infrastruc…,Acquired,$20,2024,25.77427,-80.19366
275,Frontdesk,Wisconsin,Milwaukee,35.0,2020-04-10,16.0,219.0,184.0,Travel,Unknown,$3,2020,43.0389,-87.90647
276,Frontdesk,Wisconsin,Milwaukee,200.0,2024-01-02,100.0,200.0,0.0,Travel,Unknown,$26,2024,43.0389,-87.90647
277,Kaleidoscope,Minnesota,Minneapolis,15.0,2023-03-14,30.0,50.0,35.0,Finance,Series A,$16,2023,44.97997,-93.26384
278,When I Work,Minnesota,Minneapolis,55.0,2020-04-22,35.0,157.0,102.0,HR,Series B,$24,2020,44.97997,-93.26384
279,Code42,Minnesota,Minneapolis,25.0,2020-04-09,5.0,500.0,475.0,Data,Series B,$138,2020,44.97997,-93.26384
280,Foodsby,Minnesota,Minneapolis,87.0,2020-03-24,67.0,130.0,43.0,Food,Series B,$20,2020,44.97997,-93.26384
282,Submittable,Montana,Missoula,30.0,2020-04-25,20.0,150.0,120.0,Other,Series B,$17,2020,46.87215,-113.994
283,iCAD,New Hampshire,Nashua,23.0,2023-03-29,28.0,82.0,59.0,Healthcare,Post-IPO,$59,2023,42.76537,-71.46757
284,Parler,Tennessee,Nashville,60.0,2023-01-10,75.0,80.0,20.0,Consumer,Series B,$36,2023,36.16589,-86.78444
285,Bridge Connector,Tennessee,Nashville,154.0,2020-11-17,100.0,154.0,0.0,Healthcare,Series B,$45,2020,36.16589,-86.78444
287,Exodus,Nebraska,Nebraska City,59.0,2022-11-04,22.0,268.0,209.0,Crypto,Unknown,$60,2022,40.67667,-95.85917
288,Etsy,New York,New York City,225.0,2023-12-13,11.0,2045.0,1820.0,Retail,Post-IPO,$97,2023,40.71427,-74.00597
289,Dataminr,New York,New York City,150.0,2023-11-28,20.0,750.0,600.0,AI,Series F,$1100,2023,40.71427,-74.00597
290,Nomad Health,New York,New York City,119.0,2023-10-20,17.0,700.0,581.0,Healthcare,Unknown,$218,2023,40.71427,-74.00597
291,Chainalysis,New York,New York City,150.0,2023-10-02,15.0,1000.0,850.0,Crypto,Series F,$536,2023,40.71427,-74.00597
292,Hodinkee,New York,New York City,24.0,2023-09-05,20.0,120.0,96.0,Retail,Seed,$40,2023,40.71427,-74.00597
293,Nexar,New York,New York City,17.0,2023-09-04,14.0,121.0,104.0,Transportation,Series D,$149,2023,40.71427,-74.00597
294,Augury,New York,New York City,70.0,2023-08-02,18.0,389.0,319.0,Manufacturing,Series E,$274,2023,40.71427,-74.00597
295,Verbit,New York,New York City,60.0,2023-07-27,6.0,1000.0,940.0,Data,Series E,$569,2023,40.71427,-74.00597
296,Deep Instict,New York,New York City,46.0,2023-07-25,15.0,307.0,261.0,Security,Unknown,$322,2023,40.71427,-74.00597
297,Sisense,New York,New York City,100.0,2023-07-11,15.0,667.0,567.0,Data,Series F,$274,2023,40.71427,-74.00597
298,TytoCare,New York,New York City,20.0,2023-07-06,10.0,200.0,180.0,Healthcare,Series D,$156,2023,40.71427,-74.00597
299,Artsy,New York,New York City,35.0,2023-06-29,15.0,233.0,198.0,Retail,Series D,$100,2023,40.71427,-74.00597
300,Sonos,New York,New York City,130.0,2023-06-14,7.0,1857.0,1727.0,Consumer,Post-IPO,$455,2023,40.71427,-74.00597
301,Olo,New York,New York City,81.0,2023-06-14,11.0,736.0,655.0,Food,Post-IPO,$184,2023,40.71427,-74.00597
302,Cityblock Health,New York,New York City,155.0,2023-06-08,12.0,1292.0,1137.0,Healthcare,Series D,$891,2023,40.71427,-74.00597
303,Outbrain,New York,New York City,90.0,2023-06-01,10.0,900.0,810.0,Marketing,Post-IPO,$394,2023,40.71427,-74.00597
304,Away,New York,New York City,22.0,2023-05-31,8.0,275.0,253.0,Retail,Series D,$181,2023,40.71427,-74.00597
305,Stash,New York,New York City,40.0,2023-05-17,10.0,400.0,360.0,Finance,Unknown,$480,2023,40.71427,-74.00597
306,Lemonade,New York,New York City,45.0,2023-05-16,3.0,1500.0,1455.0,Finance,Post-IPO,$481,2023,40.71427,-74.00597
307,Similarweb,New York,New York City,60.0,2023-05-10,6.0,1000.0,940.0,Other,Post-IPO,$235,2023,40.71427,-74.00597
308,Stack Overflow,New York,New York City,58.0,2023-05-10,10.0,580.0,522.0,Recruiting,Acquired,$153,2023,40.71427,-74.00597
309,TheSkimm,New York,New York City,22.0,2023-05-03,13.0,169.0,147.0,Media,Series C,$28,2023,40.71427,-74.00597
310,Vroom,New York,New York City,120.0,2023-04-27,11.0,1091.0,971.0,Transportation,Post-IPO,$1300,2023,40.71427,-74.00597
311,Greenhouse,New York,New York City,100.0,2023-04-27,12.0,833.0,733.0,Recruiting,Private Equity …,$110,2023,40.71427,-74.00597
312,Chief,New York,New York City,43.0,2023-04-27,14.0,307.0,264.0,Other,Series B,$140,2023,40.71427,-74.00597
313,Teampay,New York,New York City,30.0,2023-04-26,33.0,91.0,61.0,Finance,Series B,$79,2023,40.71427,-74.00597
314,BuzzFeed,New York,New York City,180.0,2023-04-20,15.0,1200.0,1020.0,Media,Post-IPO,$696,2023,40.71427,-74.00597
315,Gloat,New York,New York City,35.0,2023-04-20,12.0,292.0,257.0,HR,Series D,$192,2023,40.71427,-74.00597
316,Community Gami…,New York,New York City,17.0,2023-04-14,17.0,100.0,83.0,Crypto,Series A,$18,2023,40.71427,-74.00597
317,Boost,New York,New York City,15.0,2023-04-04,20.0,75.0,60.0,Finance,Series B,$37,2023,40.71427,-74.00597
318,Boxed,New York,New York City,32.0,2023-03-15,25.0,128.0,96.0,Retail,Post-IPO,$365,2023,40.71427,-74.00597
319,SiriusXM,New York,New York City,475.0,2023-03-06,8.0,5938.0,5463.0,Media,Post-IPO,$525,2023,40.71427,-74.00597
320,Fireblocks,New York,New York City,30.0,2023-02-20,5.0,600.0,570.0,Crypto,Series E,$1000,2023,40.71427,-74.00597
321,DigitalOcean,New York,New York City,200.0,2023-02-15,11.0,1818.0,1618.0,Infrastructure,Post-IPO,$491,2023,40.71427,-74.00597
322,Sprinklr,New York,New York City,100.0,2023-02-15,4.0,2500.0,2400.0,Support,Post-IPO,$429,2023,40.71427,-74.00597
323,Electric,New York,New York City,141.0,2023-02-13,25.0,564.0,423.0,Other,Series D,$212,2023,40.71427,-74.00597
324,TripleLift,New York,New York City,100.0,2023-02-10,20.0,500.0,400.0,Marketing,Acquired,$16,2023,40.71427,-74.00597
325,Chainalysis,New York,New York City,44.0,2023-02-01,5.0,880.0,836.0,Crypto,Series F,$536,2023,40.71427,-74.00597
326,TheSkimm,New York,New York City,17.0,2023-02-01,10.0,170.0,153.0,Media,Series C,$28,2023,40.71427,-74.00597
327,Tilting Point,New York,New York City,60.0,2023-01-31,14.0,429.0,369.0,Consumer,Unknown,$235,2023,40.71427,-74.00597
328,Innovid,New York,New York City,40.0,2023-01-23,10.0,400.0,360.0,Marketing,Post-IPO,$295,2023,40.71427,-74.00597
329,Saks.com,New York,New York City,100.0,2023-01-19,5.0,2000.0,1900.0,Retail,Unknown,$965,2023,40.71427,-74.00597
330,Teladoc Health,New York,New York City,300.0,2023-01-18,6.0,5000.0,4700.0,Healthcare,Post-IPO,$172,2023,40.71427,-74.00597
332,Pagaya,New York,New York City,140.0,2023-01-18,20.0,700.0,560.0,Finance,Post-IPO,$571,2023,40.71427,-74.00597
333,Snappy,New York,New York City,100.0,2023-01-15,30.0,333.0,233.0,Marketing,Series C,$104,2023,40.71427,-74.00597
334,ConsenSys,New York,New York City,100.0,2023-01-10,11.0,909.0,809.0,Crypto,Series D,$726,2023,40.71427,-74.00597
335,Personetics,New York,New York City,30.0,2023-01-05,8.0,375.0,345.0,Support,Private Equity …,$178,2023,40.71427,-74.00597
336,Kaltura,New York,New York City,75.0,2023-01-04,11.0,682.0,607.0,Media,Post-IPO,$166,2023,40.71427,-74.00597
337,Augury,New York,New York City,20.0,2023-01-04,5.0,400.0,380.0,Manufacturing,Series E,$274,2023,40.71427,-74.00597
338,LeafLink,New York,New York City,80.0,2022-12-15,31.0,258.0,178.0,Other,Series C,$379,2022,40.71427,-74.00597
339,Integral Ad Science,New York,New York City,120.0,2022-12-07,13.0,923.0,803.0,Marketing,Acquired,$116,2022,40.71427,-74.00597
340,Lev,New York,New York City,30.0,2022-12-07,30.0,100.0,70.0,Real Estate,Series B,$114,2022,40.71427,-74.00597
341,Lithic,New York,New York City,27.0,2022-12-07,18.0,150.0,123.0,Finance,Series C,$115,2022,40.71427,-74.00597
342,BuzzFeed,New York,New York City,180.0,2022-12-06,12.0,1500.0,1320.0,Media,Post-IPO,$696,2022,40.71427,-74.00597
343,Stash,New York,New York City,32.0,2022-12-06,8.0,400.0,368.0,Finance,Unknown,$480,2022,40.71427,-74.00597
344,Bizzabo,New York,New York City,100.0,2022-12-01,37.0,270.0,170.0,Marketing,Series E,$194,2022,40.71427,-74.00597
345,Wonder,New York,New York City,130.0,2022-11-30,7.0,1857.0,1727.0,Food,Series B,$850,2022,40.71427,-74.00597
346,Candy Digital,New York,New York City,33.0,2022-11-28,33.0,100.0,67.0,Crypto,Series A,$100,2022,40.71427,-74.00597
347,Capitolis,New York,New York City,37.0,2022-11-17,25.0,148.0,111.0,Finance,Series D,$281,2022,40.71427,-74.00597
348,Similarweb,New York,New York City,120.0,2022-11-16,10.0,1200.0,1080.0,Other,Post-IPO,$235,2022,40.71427,-74.00597
349,Yotpo,New York,New York City,70.0,2022-11-16,9.0,778.0,708.0,Marketing,Unknown,$436,2022,40.71427,-74.00597
351,OwnBackup,New York,New York City,170.0,2022-11-15,17.0,1000.0,830.0,Security,Series E,$507,2022,40.71427,-74.00597
352,Ribbon,New York,New York City,170.0,2022-11-14,85.0,200.0,30.0,Real Estate,Series C,$405,2022,40.71427,-74.00597
353,Varonis,New York,New York City,110.0,2022-11-06,5.0,2200.0,2090.0,Security,Post-IPO,$30,2022,40.71427,-74.00597
354,EquityZen,New York,New York City,30.0,2022-10-31,27.0,111.0,81.0,Finance,Series B,$11,2022,40.71427,-74.00597
355,Playdots,New York,New York City,65.0,2022-10-13,100.0,65.0,0.0,Consumer,Acquired,$10,2022,40.71427,-74.00597
356,Noom,New York,New York City,500.0,2022-10-11,10.0,5000.0,4500.0,Healthcare,Series F,$657,2022,40.71427,-74.00597
357,Redesign Health,New York,New York City,67.0,2022-10-10,20.0,335.0,268.0,Healthcare,Series C,$315,2022,40.71427,-74.00597
358,Peloton,New York,New York City,500.0,2022-10-06,12.0,4167.0,3667.0,Fitness,Post-IPO,$1900,2022,40.71427,-74.00597
359,NYDIG,New York,New York City,110.0,2022-09-22,33.0,333.0,223.0,Crypto,Private Equity …,$1400,2022,40.71427,-74.00597
360,Compass,New York,New York City,271.0,2022-09-20,6.691358024691358,4050.0,3779.0,Real Estate,Post-IPO,$1600,2022,40.71427,-74.00597
361,LivePerson,New York,New York City,193.0,2022-09-15,11.0,1755.0,1562.0,Support,Post-IPO,$42,2022,40.71427,-74.00597
362,Taboola,New York,New York City,100.0,2022-09-13,6.0,1667.0,1567.0,Marketing,Post-IPO,$445,2022,40.71427,-74.00597
363,Argyle,New York,New York City,20.0,2022-08-26,7.0,286.0,266.0,Finance,Series B,$78,2022,40.71427,-74.00597
364,Packable,New York,New York City,138.0,2022-08-23,20.0,690.0,552.0,Retail,Unknown,$472,2022,40.71427,-74.00597
365,ContraFect,New York,New York City,16.0,2022-08-15,37.0,43.0,27.0,Healthcare,Post-IPO,$380,2022,40.71427,-74.00597
366,Peloton,New York,New York City,784.0,2022-08-12,13.0,6031.0,5247.0,Fitness,Post-IPO,$1900,2022,40.71427,-74.00597
367,Latch,New York,New York City,115.0,2022-08-02,37.0,311.0,196.0,Security,Post-IPO,$342,2022,40.71427,-74.00597
368,Glossier,New York,New York City,19.0,2022-08-02,8.0,238.0,219.0,Retail,Series E,$266,2022,40.71427,-74.00597
369,Outbrain,New York,New York City,38.0,2022-07-26,3.0,1267.0,1229.0,Marketing,Post-IPO,$394,2022,40.71427,-74.00597
370,Lunchbox,New York,New York City,60.0,2022-07-21,33.0,182.0,122.0,Food,Series B,$72,2022,40.71427,-74.00597
371,Gemini,New York,New York City,68.0,2022-07-18,7.0,971.0,903.0,Crypto,Unknown,$423,2022,40.71427,-74.00597
372,Lusha,New York,New York City,30.0,2022-07-18,10.0,300.0,270.0,Marketing,Series B,$245,2022,40.71427,-74.00597
373,Fabric,New York,New York City,120.0,2022-07-13,40.0,300.0,180.0,Logistics,Series C,$336,2022,40.71427,-74.00597
374,SundaySky,New York,New York City,24.0,2022-07-11,13.0,185.0,161.0,Marketing,Series D,$74,2022,40.71427,-74.00597
375,Butler Hospitality,New York,New York City,1000.0,2022-07-08,100.0,1000.0,0.0,Food,Series B,$50,2022,40.71427,-74.00597
376,Calibrate,New York,New York City,156.0,2022-07-08,24.0,650.0,494.0,Healthcare,Series B,$127,2022,40.71427,-74.00597
377,SQream,New York,New York City,30.0,2022-07-06,18.0,167.0,137.0,Data,Series B,$77,2022,40.71427,-74.00597
378,Bizzabo,New York,New York City,120.0,2022-07-05,30.0,400.0,280.0,Marketing,Series E,$194,2022,40.71427,-74.00597
379,Verbit,New York,New York City,80.0,2022-07-05,10.0,800.0,720.0,Data,Series E,$569,2022,40.71427,-74.00597
380,Thimble,New York,New York City,20.0,2022-07-05,33.0,61.0,41.0,Finance,Series A,$28,2022,40.71427,-74.00597
381,Celsius,New York,New York City,150.0,2022-07-03,25.0,600.0,450.0,Crypto,Series B,$864,2022,40.71427,-74.00597
382,Stash Financial,New York,New York City,40.0,2022-06-30,8.0,500.0,460.0,Finance,Unknown,$480,2022,40.71427,-74.00597
383,Nate,New York,New York City,30.0,2022-06-30,20.0,150.0,120.0,Retail,Series A,$47,2022,40.71427,-74.00597
384,UiPath,New York,New York City,210.0,2022-06-27,5.0,4200.0,3990.0,Data,Post-IPO,$2000,2022,40.71427,-74.00597
385,JOKR,New York,New York City,50.0,2022-06-16,5.0,1000.0,950.0,Food,Series B,$430,2022,40.71427,-74.00597
387,BlockFi,New York,New York City,250.0,2022-06-13,20.0,1250.0,1000.0,Crypto,Series E,$1000,2022,40.71427,-74.00597
388,Food52,New York,New York City,21.0,2022-06-03,15.0,140.0,119.0,Food,Acquired,$176,2022,40.71427,-74.00597
389,PolicyGenius,New York,New York City,170.0,2022-06-02,25.0,680.0,510.0,Finance,Series E,$286,2022,40.71427,-74.00597
390,Gemini,New York,New York City,100.0,2022-06-02,10.0,1000.0,900.0,Crypto,Unknown,$423,2022,40.71427,-74.00597
391,Airtime,New York,New York City,30.0,2022-05-23,20.0,150.0,120.0,Consumer,Series B,$33,2022,40.71427,-74.00597
392,Latch,New York,New York City,130.0,2022-05-20,28.0,464.0,334.0,Security,Post-IPO,$342,2022,40.71427,-74.00597
393,Latch,New York,New York City,30.0,2022-05-10,6.0,500.0,470.0,Security,Post-IPO,$342,2022,40.71427,-74.00597
395,Food52,New York,New York City,20.0,2022-04-08,10.0,200.0,180.0,Food,Acquired,$176,2022,40.71427,-74.00597
396,Knock,New York,New York City,115.0,2022-03-15,46.0,250.0,135.0,Real Estate,Unknown,$654,2022,40.71427,-74.00597
397,Better.com,New York,New York City,3000.0,2022-03-08,33.0,9091.0,6091.0,Real Estate,Unknown,$905,2022,40.71427,-74.00597
398,Hyperscience,New York,New York City,100.0,2022-03-03,25.0,400.0,300.0,Data,Series E,$289,2022,40.71427,-74.00597
399,Daily Harvest,New York,New York City,60.0,2022-02-10,20.0,300.0,240.0,Food,Series D,$120,2022,40.71427,-74.00597
401,Rhino,New York,New York City,57.0,2022-02-03,20.0,285.0,228.0,Real Estate,Unknown,$133,2022,40.71427,-74.00597
402,Glossier,New York,New York City,80.0,2022-01-26,33.0,242.0,162.0,Consumer,Series E,$266,2022,40.71427,-74.00597
403,Better.com,New York,New York City,900.0,2021-12-01,9.0,10000.0,9100.0,Real Estate,Unknown,$905,2021,40.71427,-74.00597
404,Knotel,New York,New York City,20.0,2020-10-29,8.0,250.0,230.0,Real Estate,Series C,$560,2020,40.71427,-74.00597
405,Glossier,New York,New York City,150.0,2020-08-07,38.0,395.0,245.0,Retail,Series D,$186,2020,40.71427,-74.00597
406,Sonos,New York,New York City,174.0,2020-06-24,12.0,1450.0,1276.0,Consumer,Post-IPO,$455,2020,40.71427,-74.00597
407,Branch,New York,New York City,3.0,2020-06-11,27.0,11.0,8.0,Retail,Seed,$2,2020,40.71427,-74.00597
408,The Sill,New York,New York City,20.0,2020-05-28,25.0,80.0,60.0,Retail,Series A,$7,2020,40.71427,-74.00597
409,Glitch,New York,New York City,18.0,2020-05-21,36.0,50.0,32.0,Product,Series A,$30,2020,40.71427,-74.00597
410,Integral Ad Scien…,New York,New York City,70.0,2020-05-14,10.0,700.0,630.0,Marketing,Acquired,$116,2020,40.71427,-74.00597
411,Kickstarter,New York,New York City,25.0,2020-05-13,18.0,139.0,114.0,Finance,Unknown,$10,2020,40.71427,-74.00597
412,Cadre,New York,New York City,28.0,2020-05-11,25.0,112.0,84.0,Real Estate,Series C,$133,2020,40.71427,-74.00597
413,N26,New York,New York City,9.0,2020-05-08,1.0,900.0,891.0,Finance,Series D,$782,2020,40.71427,-74.00597
414,Jump,New York,New York City,500.0,2020-05-07,100.0,500.0,0.0,Transportation,Acquired,$11,2020,40.71427,-74.00597
415,Andela,New York,New York City,135.0,2020-05-05,10.0,1350.0,1215.0,Recruiting,Series D,$181,2020,40.71427,-74.00597
416,Stack Overflow,New York,New York City,40.0,2020-05-05,15.0,267.0,227.0,Recruiting,Series D,$68,2020,40.71427,-74.00597
417,Namely,New York,New York City,110.0,2020-05-01,40.0,275.0,165.0,HR,Series E,$217,2020,40.71427,-74.00597
418,TheSkimm,New York,New York City,26.0,2020-05-01,20.0,130.0,104.0,Media,Series C,$28,2020,40.71427,-74.00597
419,TranSan Franciscoix,New York,New York City,24.0,2020-04-29,10.0,240.0,216.0,Logistics,Series D,$128,2020,40.71427,-74.00597
420,Sisense,New York,New York City,80.0,2020-04-23,9.0,889.0,809.0,Data,Series F,$274,2020,40.71427,-74.00597
422,Casper,New York,New York City,78.0,2020-04-21,21.0,371.0,293.0,Retail,Post-IPO,$339,2020,40.71427,-74.00597
423,ConsenSys,New York,New York City,91.0,2020-04-20,14.0,650.0,559.0,Crypto,Unknown,$10,2020,40.71427,-74.00597
424,Greenhouse,New York,New York City,120.0,2020-04-17,28.0,429.0,309.0,Recruiting,Series D,$110,2020,40.71427,-74.00597
425,Button,New York,New York City,48.0,2020-04-08,35.0,137.0,89.0,Marketing,Series C,$64,2020,40.71427,-74.00597
426,Eden / Managed …,New York,New York City,40.0,2020-04-08,40.0,100.0,60.0,Real Estate,Series B,$40,2020,40.71427,-74.00597
427,Away,New York,New York City,60.0,2020-04-07,10.0,600.0,540.0,Retail,Series D,$181,2020,40.71427,-74.00597
428,MediaMath,New York,New York City,53.0,2020-04-07,8.0,663.0,610.0,Marketing,Private Equity …,$607,2020,40.71427,-74.00597
429,Group Nine Media,New York,New York City,50.0,2020-04-07,7.0,714.0,664.0,Media,Unknown,$190,2020,40.71427,-74.00597
430,BounceX,New York,New York City,77.0,2020-04-06,20.0,385.0,308.0,Marketing,Series B,$75,2020,40.71427,-74.00597
431,Jetty,New York,New York City,35.0,2020-04-03,40.0,88.0,53.0,Finance,Series B,$40,2020,40.71427,-74.00597
432,Bustle Digital Group,New York,New York City,24.0,2020-04-03,8.0,300.0,276.0,Media,Series E,$80,2020,40.71427,-74.00597
433,ClassPass,New York,New York City,154.0,2020-04-02,22.0,700.0,546.0,Fitness,Series E,$549,2020,40.71427,-74.00597
434,Industrious,New York,New York City,90.0,2020-04-02,20.0,450.0,360.0,Real Estate,Series D,$222,2020,40.71427,-74.00597
435,1stdibs,New York,New York City,70.0,2020-04-02,17.0,412.0,342.0,Retail,Series D,$253,2020,40.71427,-74.00597
436,TripleLift,New York,New York City,23.0,2020-04-02,7.0,329.0,306.0,Marketing,Series B,$16,2020,40.71427,-74.00597
437,Loftsmart,New York,New York City,25.0,2020-03-30,75.0,33.0,8.0,Real Estate,Series A,$18,2020,40.71427,-74.00597
438,Iris Nova,New York,New York City,9.0,2020-03-30,50.0,18.0,9.0,Food,Seed,$15,2020,40.71427,-74.00597
439,Blueground,New York,New York City,130.0,2020-03-27,25.0,520.0,390.0,Real Estate,Series B,$77,2020,40.71427,-74.00597
440,Knotel,New York,New York City,127.0,2020-03-27,30.0,423.0,296.0,Real Estate,Series C,$560,2020,40.71427,-74.00597
441,Overtime,New York,New York City,30.0,2020-03-25,23.0,130.0,100.0,Media,Series B,$35,2020,40.71427,-74.00597
442,Compass,New York,New York City,375.0,2020-03-23,15.0,2500.0,2125.0,Real Estate,Series G,$1600,2020,40.71427,-74.00597
443,Convene,New York,New York City,150.0,2020-03-23,18.0,833.0,683.0,Real Estate,Series D,$280,2020,40.71427,-74.00597
444,Flywheel Sports,New York,New York City,784.0,2020-03-20,98.0,800.0,16.0,Fitness,Acquired,$120,2020,40.71427,-74.00597
445,Stash,New York,New York City,80.0,2024-03-13,25.0,320.0,240.0,Finance,Unknown,$480,2024,40.71427,-74.00597
448,Sorare,New York,New York City,22.0,2024-03-06,13.0,169.0,147.0,Crypto,Series B,$739,2024,40.71427,-74.00597
450,Melio,New York,New York City,40.0,2024-03-04,7.0,571.0,531.0,Finance,Series D,$504,2024,40.71427,-74.00597
451,Gro Intelligence,New York,New York City,90.0,2024-03-01,60.0,150.0,60.0,Food,Series B,$118,2024,40.71427,-74.00597
455,Gro Intelligence,New York,New York City,20.0,2024-02-15,10.0,200.0,180.0,Food,Series B,$118,2024,40.71427,-74.00597
458,Riskified,New York,New York City,40.0,2024-02-13,6.0,667.0,627.0,Retail,Post-IPO,$229,2024,40.71427,-74.00597
459,SiriusXM,New York,New York City,160.0,2024-02-12,3.0,5333.0,5173.0,Media,Post-IPO,$525,2024,40.71427,-74.00597
460,Fireblocks,New York,New York City,20.0,2024-02-07,3.0,667.0,647.0,Crypto,Series E,"$1,000",2024,40.71427,-74.00597
466,Vroom,New York,New York City,800.0,2024-01-23,90.0,889.0,89.0,Transport…,Post-IPO,"$1,300",2024,40.71427,-74.00597
468,Audible,New York,New York City,100.0,2024-01-11,5.0,2000.0,1900.0,Media,Acquired,$14,2024,40.71427,-74.00597
469,Sisense,New York,New York City,60.0,2024-01-11,13.0,461.0,401.0,Data,Series F,$274,2024,40.71427,-74.00597
472,FreshDirect,New York,New York City,100.0,2024-01-10,3.0,3333.0,3233.3333333333335,Food,Acquired,$280,2024,40.71427,-74.00597
473,Rent the Runway,New York,New York City,37.0,2024-01-09,10.0,370.0,333.0,Retail,Post-IPO,$526,2024,40.71427,-74.00597
477,Etsy,New York,New York City,225.0,2023-12-13,11.0,2045.0,1820.0,Retail,Post-IPO,$97,2024,40.71427,-74.00597
