company,location,industry,total_laid_off,date,stage,state,state_name
Stash,New York City,Finance,32,06/12/22,Unknown,NY,New York
Filevine,Salt Lake City,Legal,89,06/12/22,Series D,UT,Utah
Plaid,SF Bay Area,Finance,260,07/12/22,Series D,CA,California
Motive,SF Bay Area,Transportation,237,07/12/22,Series F,CA,California
Houzz,SF Bay Area,Consumer,95,07/12/22,Series E,CA,California
CircleCI,SF Bay Area,Product,56,07/12/22,Series F,CA,California
Recur Forever,Miami,Crypto,235,07/12/22,Series A,FL,Florida
Relativity,Chicago,Legal,150,07/12/22,Private Equity,IL,Illinois
Integral Ad Science,New York City,Marketing,120,07/12/22,Acquired,NY,New York
Lev,New York City,Real Estate,30,07/12/22,Series B,NY,New York
Lithic,New York City,Finance,27,07/12/22,Series C,NY,New York
Zywave,Milwaukee,Finance,144,07/12/22,Acquired,WI,Wisconsin
Airtable,SF Bay Area,Product,254,08/12/22,Series F,CA,California
BlackLine,Los Angeles,Finance,95,08/12/22,Private Equity,CA,California
CyCognito,SF Bay Area,Security,30,08/12/22,Series C,CA,California
Armis,SF Bay Area,Security,25,08/12/22,Private Equity,CA,California
Vanta,SF Bay Area,Security,121,08/12/22,Series B,CA,California
Inscripta,Boulder,Healthcare,43,08/12/22,Series E,CO,Colorado
Bakkt,Atlanta,Crypto,176,08/12/22,Post-IPO,GA,Georgia
TechTarget,Boston,Marketing,60,08/12/22,Post-IPO,MA,Massachusetts
Nerdy,St. Louis,Education,69,08/12/22,Post-IPO,MO,Missouri
Lenovo,Raleigh,Hardware,1460,08/12/22,Post-IPO,NC,North Carolina
Blue Apron,New York City,Food,259,08/12/22,Post-IPO,NY,New York
FireHydrant,New York City,Infrastructure,280,08/12/22,Series B,NY,New York
C2FO,Kansas City,Finance,20,09/12/22,Series H,MO,Missouri
N-able Technologies,Raleigh,Other,403,09/12/22,Post-IPO,NC,North Carolina
ZenLedger,Seattle,Crypto,176,09/12/22,Series B,WA,Washington
Outschool,SF Bay Area,Education,43,10/12/22,Series D,CA,California
Autobooks,Detroit,Finance,144,10/12/22,Series C,MI,Michigan
Convene,New York City,Real Estate,260,10/12/22,Unknown,NY,New York
Freshly,Phoenix,Food,329,12/12/22,Acquired,AZ,Arizona
Balto,St. Louis,Sales,35,12/12/22,Series B,MO,Missouri
Pluralsight,Salt Lake City,Education,400,12/12/22,Acquired,UT,Utah
Caribou,Washington D.C.,Finance,144,12/12/22,Series C,VA,Virginia
Edgio,Phoenix,Infrastructure,95,13/12/22,Post-IPO,AZ,Arizona
Thumbtack,SF Bay Area,Consumer,160,13/12/22,Series I,CA,California
Komodo Health,SF Bay Area,Healthcare,78,13/12/22,Series E,CA,California
Viant,Los Angeles,Marketing,46,13/12/22,Post-IPO,CA,California
TaxBit,Salt Lake City,Crypto,176,13/12/22,Series B,UT,Utah
Landing,Birmingham,Real Estate,260,14/12/22,Series C,AL,Alabama
Quanergy Systems,SF Bay Area,Transportation,72,14/12/22,Post-IPO,CA,California
Headspace,Los Angeles,Healthcare,50,14/12/22,Unknown,CA,California
ChowNow,Los Angeles,Food,40,14/12/22,Series C,CA,California
Freshworks,SF Bay Area,Support,90,15/12/22,Post-IPO,CA,California
Apollo,SF Bay Area,Product,56,15/12/22,Series D,CA,California
LeafLink,New York City,Other,80,15/12/22,Series C,NY,New York
BigCommerce,Austin,Retail,180,15/12/22,Post-IPO,TX,Texas
Autograph,Los Angeles,Crypto,176,16/12/22,Series B,CA,California
Modern Treasury,SF Bay Area,Finance,144,16/12/22,Series C,CA,California
SonderMind,Denver,Healthcare,148,16/12/22,Series C,CO,Colorado
Health IQ,SF Bay Area,Healthcare,148,19/12/22,Series D,CA,California
Homebot,Denver,Real Estate,18,19/12/22,Acquired,CO,Colorado
TuSimple,San Diego,Transportation,350,21/12/22,Post-IPO,CA,California
Qualcomm,San Diego,Hardware,153,22/12/22,Post-IPO,CA,California
Amdocs,St. Louis,Support,700,02/01/23,Post-IPO,MO,Missouri
Uniphore,SF Bay Area,Support,76,03/01/23,Series E,CA,California
Pegasystems,Boston,HR,245,03/01/23,Post-IPO,MA,Massachusetts
Salesforce,SF Bay Area,Sales,8000,04/01/23,Post-IPO,CA,California
Wyre,SF Bay Area,Crypto,176,04/01/23,Unknown,CA,California
Butterfly Network,Boston,Healthcare,148,04/01/23,Post-IPO,MA,Massachusetts
Kaltura,New York City,Media,75,04/01/23,Post-IPO,NY,New York
Augury,New York City,Manufacturing,20,04/01/23,Series E,NY,New York
Vimeo,New York City,Consumer,788,04/01/23,Post-IPO,NY,New York
Astronomer,Cincinnati,Data,76,04/01/23,Series C,OH,Ohio
Amazon,Seattle,Retail,8000,04/01/23,Post-IPO,WA,Washington
Cue,San Diego,Healthcare,388,05/01/23,Post-IPO,CA,California
SoundHound,SF Bay Area,Other,200,05/01/23,Post-IPO,CA,California
Twitter,SF Bay Area,Consumer,40,05/01/23,Post-IPO,CA,California
Everlane,SF Bay Area,Retail,30,05/01/23,Unknown,CA,California
Stitch Fix,SF Bay Area,Retail,603,05/01/23,Post-IPO,CA,California
TCR2,Boston,Healthcare,148,05/01/23,Post-IPO,MA,Massachusetts
Socure,Reno,Finance,104,05/01/23,Series E,NV,Nevada
Genesis,New York City,Crypto,60,05/01/23,Series A,NY,New York
Personetics,New York City,Support,30,05/01/23,Private Equity,NY,New York
Attentive,New York City,Marketing,83,05/01/23,Series E,NY,New York
Compass,New York City,Real Estate,260,05/01/23,Post-IPO,NY,New York
Carbon Health,SF Bay Area,Healthcare,200,06/01/23,Series D,CA,California
CareerArc,Los Angeles,HR,146,06/01/23,Private Equity,CA,California
CreateMe,SF Bay Area,Manufacturing,64,06/01/23,Unknown,CA,California
Mojo Vision,SF Bay Area,Hardware,1460,06/01/23,Series B,CA,California
Lantern,Grand Rapids,Retail,603,06/01/23,Seed,MI,Michigan
Aware,Columbus,Security,121,06/01/23,Series C,OH,Ohio
Integrate,Phoenix,Marketing,83,07/01/23,Acquired,AZ,Arizona
WalkMe,SF Bay Area,Other,43,08/01/23,Post-IPO,CA,California
Fate Therapeutics,San Diego,Healthcare,315,09/01/23,Post-IPO,CA,California
Scale AI,SF Bay Area,Data,119,09/01/23,Series E,CA,California
Editas Medicine,Boston,Healthcare,148,09/01/23,Post-IPO,MA,Massachusetts
Century Therapeutics,Philadelphia,Healthcare,148,09/01/23,Post-IPO,PA,Pennsylvania
Coinbase,SF Bay Area,Crypto,950,10/01/23,Post-IPO,CA,California
Informatica,SF Bay Area,Data,450,10/01/23,Post-IPO,CA,California
Blend,SF Bay Area,Finance,340,10/01/23,Post-IPO,CA,California
ForeScout,SF Bay Area,Security,100,10/01/23,Post-IPO,CA,California
100 Thieves,Los Angeles,Retail,603,10/01/23,Series C,CA,California
Citrix,Miami,Infrastructure,280,10/01/23,Acquired,FL,Florida
WHOOP,Boston,Fitness,473,10/01/23,Series F,MA,Massachusetts
ConsenSys,New York City,Crypto,100,10/01/23,Series D,NY,New York
Parler,Nashville,Consumer,60,10/01/23,Series B,TN,Tennessee
Cart.com,Austin,Retail,603,10/01/23,Unknown,TX,Texas
Esper,Seattle,Other,403,10/01/23,Series A,WA,Washington
Flexport,SF Bay Area,Logistics,640,11/01/23,Series E,CA,California
Tipalti,SF Bay Area,Finance,123,11/01/23,Series F,CA,California
Jumio,SF Bay Area,Security,100,11/01/23,Private Equity,CA,California
HashiCorp,SF Bay Area,Security,69,11/01/23,Post-IPO,CA,California
Intrinsic,SF Bay Area,Other,40,11/01/23,Acquired,CA,California
Carta,SF Bay Area,HR,146,11/01/23,Series G,CA,California
Embark,Boston,Healthcare,41,11/01/23,Series B,MA,Massachusetts
Oyster,Charlotte,HR,146,11/01/23,Series C,NC,North Carolina
Citizen,New York City,Consumer,33,11/01/23,Series C,NY,New York
Qualtrics,Salt Lake City,Other,270,11/01/23,Post-IPO,UT,Utah
Limeade,Seattle,HR,146,11/01/23,Series C,WA,Washington
Lending Club,SF Bay Area,Finance,225,12/01/23,Post-IPO,CA,California
Career Karma,SF Bay Area,Education,22,12/01/23,Series B,CA,California
Lattice,SF Bay Area,HR,146,12/01/23,Series F,CA,California
Life360,SF Bay Area,Consumer,788,12/01/23,Post-IPO,CA,California
Rock Content,Miami,Marketing,83,12/01/23,Series B,FL,Florida
Greenlight,Atlanta,Finance,104,12/01/23,Series D,GA,Georgia
Definitive Healthcare,Boston,Healthcare,55,12/01/23,Post-IPO,MA,Massachusetts
Akili Labs,Baltimore,Healthcare,46,12/01/23,Seed,MD,Maryland
Mapbox,Washington D.C.,Data,64,12/01/23,Unknown,VA,Virginia
Carvana,Phoenix,Transportation,358,13/01/23,Post-IPO,AZ,Arizona
Vial,SF Bay Area,Healthcare,40,13/01/23,Series B,CA,California
Jellyfish,Boston,Product,56,13/01/23,Series C,MA,Massachusetts
CoSchedule,Bismarck,Marketing,83,13/01/23,Unknown,ND,North Dakota
Bonterra ,Austin,Other,140,13/01/23,Unknown,TX,Texas
GoCanvas,Washington D.C.,Other,403,13/01/23,Acquired,VA,Virginia
Snappy,New York City,Marketing,100,15/01/23,Series C,NY,New York
Unity,SF Bay Area,Other,284,17/01/23,Post-IPO,CA,California
Luxury Presence,Los Angeles,Real Estate,44,17/01/23,Series B,CA,California
RingCentral,SF Bay Area,Other,30,17/01/23,Post-IPO,CA,California
LiveVox,SF Bay Area,Support,125,17/01/23,Post-IPO,CA,California
Oracle,SF Bay Area,Other,403,17/01/23,Post-IPO,CA,California
American Robotics,Boston,Other,50,17/01/23,Acquired,MA,Massachusetts
RateGenius,Austin,Finance,144,17/01/23,Acquired,TX,Texas
8x8,SF Bay Area,Support,155,18/01/23,Post-IPO,CA,California
Addepar,SF Bay Area,Finance,20,18/01/23,Series F,CA,California
Coda,SF Bay Area,Other,403,18/01/23,Series D,CA,California
Inspirato,Denver,Travel,109,18/01/23,Post-IPO,CO,Colorado
Jumpcloud,Boulder,Security,100,18/01/23,Series F,CO,Colorado
Cypress.io,Atlanta,Product,56,18/01/23,Series B,GA,Georgia
Starry,Boston,Other,100,18/01/23,Post-IPO,MA,Massachusetts
Teladoc Health,New York City,Healthcare,300,18/01/23,Post-IPO,NY,New York
Vroom,New York City,Transportation,275,18/01/23,Post-IPO,NY,New York
Pagaya,New York City,Finance,140,18/01/23,Post-IPO,NY,New York
Lucid Diagnostics,New York City,Healthcare,148,18/01/23,Post-IPO,NY,New York
80 Acres Farms,Cincinnati,Food,259,18/01/23,Unknown,OH,Ohio
Mavenir,Dallas,Infrastructure,280,18/01/23,Acquired,TX,Texas
Microsoft,Seattle,Other,10000,18/01/23,Post-IPO,WA,Washington
Proterra,SF Bay Area,Transportation,300,19/01/23,Post-IPO,CA,California
Hubilo,SF Bay Area,Other,115,19/01/23,Series B,CA,California
Riot Games,Los Angeles,Consumer,46,19/01/23,Acquired,CA,California
Fandom,SF Bay Area,Media,70,19/01/23,Series E,CA,California
Magnite,Los Angeles,Marketing,83,19/01/23,Post-IPO,CA,California
Personalis,SF Bay Area,Healthcare,148,19/01/23,Post-IPO,CA,California
Prisma,SF Bay Area,Data,119,19/01/23,Series B,CA,California
Hydrow,Boston,Fitness,30,19/01/23,Series D,MA,Massachusetts
WeWork ,New York City,Real Estate,300,19/01/23,Post-IPO,NY,New York
Saks.com,New York City,Retail,100,19/01/23,Unknown,NY,New York
IAM Robotics,Pittsburgh,Hardware,1460,19/01/23,Unknown,PA,Pennsylvania
Earth Rides,Nashville,Transportation,358,19/01/23,Unknown,TN,Tennessee
CS Disco,Austin,Legal,62,19/01/23,Post-IPO,TX,Texas
Capital One,Washington D.C.,Finance,1100,19/01/23,Post-IPO,VA,Virginia
Icertis,Seattle,Legal,89,19/01/23,Unknown,WA,Washington
Google,SF Bay Area,Consumer,12000,20/01/23,Post-IPO,CA,California
BitTorrent,SF Bay Area,Infrastructure,92,20/01/23,Acquired,CA,California
Citrine Informatics,SF Bay Area,Data,22,20/01/23,Series C,CA,California
TikTok,Los Angeles,Consumer,788,20/01/23,Acquired,CA,California
Wayfair,Boston,Retail,1750,20/01/23,Post-IPO,MA,Massachusetts
Cyteir Therapeutics,Boston,Healthcare,148,20/01/23,Series C,MA,Massachusetts
Zappos,Las Vegas,Retail,603,20/01/23,Acquired,NV,Nevada
Vox Media,Washington D.C.,Media,130,20/01/23,Series F,VA,Virginia
Morning Consult,Washington D.C.,Data,119,20/01/23,Series B,VA,Virginia
Karat,Seattle,HR,47,20/01/23,Unknown,WA,Washington
Edifecs,Seattle,Healthcare,30,20/01/23,Unknown,WA,Washington
Avalara,Seattle,Finance,144,20/01/23,Acquired,WA,Washington
Uber Freight,SF Bay Area,Logistics,150,23/01/23,Subsidiary,CA,California
Ermetic,SF Bay Area,Security,30,23/01/23,Series B,CA,California
Innovid,New York City,Marketing,40,23/01/23,Post-IPO,NY,New York
Gemini,New York City,Crypto,176,23/01/23,Unknown,NY,New York
Yext,New York City,Marketing,83,23/01/23,Post-IPO,NY,New York
Innovaccer,SF Bay Area,Healthcare,245,24/01/23,Series E,CA,California
Bolt,SF Bay Area,Finance,50,24/01/23,Series E,CA,California
PagerDuty,SF Bay Area,Product,56,24/01/23,Post-IPO,CA,California
Corvus Insurance,Boston,Finance,144,24/01/23,Series C,MA,Massachusetts
OFFOR Health,Columbus,Healthcare,16,24/01/23,Series A,OH,Ohio
Vacasa,Portland,Travel,1300,24/01/23,Post-IPO,OR,Oregon
Icon,Austin,Construction,555,24/01/23,Series B,TX,Texas
Lam Research,SF Bay Area,Hardware,1300,25/01/23,Post-IPO,CA,California
Shutterfly,SF Bay Area,Retail,360,25/01/23,Acquired,CA,California
Guardant Health,SF Bay Area,Healthcare,130,25/01/23,Post-IPO,CA,California
CareRev,Los Angeles,Retail,603,25/01/23,Series A,CA,California
Clear Capital,Reno,Real Estate,250,25/01/23,Unknown,NV,Nevada
IBM,New York City,Hardware,3900,25/01/23,Post-IPO,NY,New York
Noom,New York City,Fitness,473,25/01/23,Series F,NY,New York
SirionLabs,Seattle,Legal,130,25/01/23,Series D,WA,Washington
Confluent,SF Bay Area,Data,221,26/01/23,Post-IPO,CA,California
Quora,SF Bay Area,Consumer,788,26/01/23,Series D,CA,California
DriveWealth,Jersey City,Finance,144,26/01/23,Series D,NJ,New Jersey
Plus One Robotics,San Antonio,Other,403,26/01/23,Series B,TX,Texas
Ruggable,Los Angeles,Retail,100,27/01/23,Seed,CA,California
Synopsys,SF Bay Area,Other,100,27/01/23,Post-IPO,CA,California
Decent,SF Bay Area,Healthcare,148,27/01/23,Series A,CA,California
Nate,New York City,Retail,603,27/01/23,Series A,NY,New York
CoinTracker,SF Bay Area,Crypto,19,28/01/23,Series A,CA,California
Intel,SF Bay Area,Hardware,343,30/01/23,Post-IPO,CA,California
Impossible Foods copy,SF Bay Area,Food,140,30/01/23,Series H,CA,California
SoFi,SF Bay Area,Finance,144,30/01/23,Post-IPO,CA,California
Quantum SI,New Haven,Healthcare,148,30/01/23,Post-IPO,CT,Connecticut
Groupon,Chicago,Retail,500,30/01/23,Post-IPO,IL,Illinois
Oyster,Charlotte,HR,146,30/01/23,Series C,NC,North Carolina
Prime Trust,Las Vegas,Crypto,176,30/01/23,Series B,NV,Nevada
BM Technologies,Philadelphia,Finance,144,30/01/23,Post-IPO,PA,Pennsylvania
PayPal,SF Bay Area,Finance,2000,31/01/23,Post-IPO,CA,California
NetApp,SF Bay Area,Data,960,31/01/23,Post-IPO,CA,California
Workday,SF Bay Area,HR,525,31/01/23,Post-IPO,CA,California
Upstart,SF Bay Area,Finance,365,31/01/23,Post-IPO,CA,California
Wish,SF Bay Area,Retail,150,31/01/23,Post-IPO,CA,California
HubSpot,Boston,Marketing,500,31/01/23,Post-IPO,MA,Massachusetts
Tilting Point,New York City,Consumer,60,31/01/23,Unknown,NY,New York
National Instruments,Austin,Hardware,1460,31/01/23,Post-IPO,TX,Texas
Splunk,SF Bay Area,Data,325,01/02/23,Post-IPO,CA,California
Pinterest,SF Bay Area,Consumer,150,01/02/23,Post-IPO,CA,California
Workato,SF Bay Area,Other,90,01/02/23,Series E,CA,California
Appgate,Miami,Security,34,01/02/23,Post-IPO,FL,Florida
DraftKings,Boston,Consumer,140,01/02/23,Post-IPO,MA,Massachusetts
Frequency Therapeutics,Boston,Healthcare,148,01/02/23,Post-IPO,MA,Massachusetts
Rivian,Detroit,Transportation,358,01/02/23,Post-IPO,MI,Michigan
Chainalysis,New York City,Crypto,44,01/02/23,Series F,NY,New York
TheSkimm,New York City,Media,17,01/02/23,Series C,NY,New York
Bustle Digital Group,New York City,Media,70,01/02/23,Series E,NY,New York
Match Group,New York City,Consumer,788,01/02/23,Post-IPO,NY,New York
Exterro,Portland,Legal,24,01/02/23,Private Equity,OR,Oregon
Wheel,Austin,Healthcare,56,01/02/23,Series C,TX,Texas
Cyren,Washington D.C.,Security,121,01/02/23,Post-IPO,VA,Virginia
Picnic,Seattle,Food,259,01/02/23,Unknown,WA,Washington
Okta,SF Bay Area,Security,300,02/02/23,Post-IPO,CA,California
Autodesk,SF Bay Area,Other,250,02/02/23,Post-IPO,CA,California
Mindstrong,SF Bay Area,Healthcare,127,02/02/23,Series C,CA,California
Miro,SF Bay Area,Other,119,02/02/23,Series C,CA,California
Getaround,SF Bay Area,Transportation,358,02/02/23,Post-IPO,CA,California
Talkdesk,SF Bay Area,Support,125,02/02/23,Series D,CA,California
Desktop Metal,Boston,Other,403,02/02/23,Post-IPO,MA,Massachusetts
Getir,New York City,Food,100,02/02/23,Series E,NY,New York
Articulate,New York City,Education,38,02/02/23,Series A,NY,New York
Highspot,Seattle,Sales,100,02/02/23,Series F,WA,Washington
Bittrex,Seattle,Crypto,80,02/02/23,Unknown,WA,Washington
Eightfold AI,SF Bay Area,HR,90,03/02/23,Series E,CA,California
Protocol Labs,SF Bay Area,Crypto,89,03/02/23,Unknown,CA,California
Kyruus,Boston,Healthcare,70,05/02/23,Unknown,MA,Massachusetts
VinFast US,Los Angeles,Transportation,80,06/02/23,Subsidiary,CA,California
Clari,SF Bay Area,Sales,20,06/02/23,Series F,CA,California
Drift,Boston,Marketing,59,06/02/23,Acquired,MA,Massachusetts
Dell,Austin,Hardware,6650,06/02/23,Post-IPO,TX,Texas
Zoom,SF Bay Area,Other,1300,07/02/23,Post-IPO,CA,California
eBay,SF Bay Area,Retail,500,07/02/23,Post-IPO,CA,California
SecureWorks,Atlanta,Security,212,07/02/23,Post-IPO,GA,Georgia
Salesloft,Atlanta,Sales,100,07/02/23,Acquired,GA,Georgia
Sana Benefits,Austin,HR,146,07/02/23,Series B,TX,Texas
GoDaddy,Phoenix,Marketing,530,08/02/23,Post-IPO,AZ,Arizona
Affirm,SF Bay Area,Finance,500,08/02/23,Post-IPO,CA,California
Gusto,SF Bay Area,HR,126,08/02/23,Series E,CA,California
Gong,SF Bay Area,Sales,80,08/02/23,Series E,CA,California
Equitybee,SF Bay Area,Finance,24,08/02/23,Series B,CA,California
Medly,New York City,Healthcare,148,08/02/23,Series C,NY,New York
Beam Benefits,Columbus,Healthcare,31,08/02/23,Series E,OH,Ohio
Yahoo,SF Bay Area,Consumer,1600,09/02/23,Acquired,CA,California
Oportun,SF Bay Area,Finance,155,09/02/23,Post-IPO,CA,California
GitLab,SF Bay Area,Product,130,09/02/23,Post-IPO,CA,California
GitHub,SF Bay Area,Product,56,09/02/23,Acquired,CA,California
Quillt,St. Louis,Media,70,09/02/23,Unknown,MO,Missouri
Bark,New York City,Retail,126,09/02/23,Post-IPO,NY,New York
Nomad Health,New York City,Healthcare,119,09/02/23,Unknown,NY,New York
Olive AI,Columbus,Healthcare,215,09/02/23,Series H,OH,Ohio
Misfits Market,Philadelphia,Food,649,09/02/23,Series C,PA,Pennsylvania
Rigetti Computing,SF Bay Area,Hardware,1460,10/02/23,Post-IPO,CA,California
Wonderschool,SF Bay Area,Education,69,10/02/23,Series A,CA,California
TripleLift,New York City,Marketing,100,10/02/23,Acquired,NY,New York
Twilio,SF Bay Area,Other,1500,13/02/23,Post-IPO,CA,California
Collective Health,SF Bay Area,Healthcare,54,13/02/23,Series F,CA,California
Magic Eden,SF Bay Area,Crypto,22,13/02/23,Series B,CA,California
LinkedIn,SF Bay Area,HR,146,13/02/23,Acquired,CA,California
iRobot,Boston,Consumer,85,13/02/23,Acquired,MA,Massachusetts
Electric,New York City,Other,141,13/02/23,Series D,NY,New York
EMX Digital,New York City,Marketing,100,13/02/23,Unknown,NY,New York
HackerEarth,SF Bay Area,HR,146,14/02/23,Series B,CA,California
Udemy,SF Bay Area,Education,69,14/02/23,Post-IPO,CA,California
CommerceHub,Albany,Retail,371,14/02/23,Acquired,NY,New York
ServiceTitan,Los Angeles,Sales,221,15/02/23,Series G,CA,California
Divvy Homes,SF Bay Area,Real Estate,260,15/02/23,Series B,CA,California
Momentive,SF Bay Area,Marketing,83,15/02/23,Post-IPO,CA,California
Observe.AI,SF Bay Area,Support,125,15/02/23,Series C,CA,California
Religion of Sports,Los Angeles,Media,70,15/02/23,Series B,CA,California
Tackle,Boise,Other,403,15/02/23,Series C,ID,Idaho
Vicarious Surgical,Boston,Healthcare,148,15/02/23,Post-IPO,MA,Massachusetts
DigitalOcean,New York City,Infrastructure,200,15/02/23,Post-IPO,NY,New York
Sprinklr,New York City,Support,100,15/02/23,Post-IPO,NY,New York
Betterment,New York City,Finance,28,15/02/23,Series F,NY,New York
DocuSign,SF Bay Area,Sales,680,16/02/23,Post-IPO,CA,California
Pico Interactive,SF Bay Area,Other,400,16/02/23,Acquired,CA,California
The RealReal,SF Bay Area,Retail,230,16/02/23,Post-IPO,CA,California
Convoy,Atlanta,Logistics,131,16/02/23,Series E,GA,Georgia
Smartsheet,Seattle,Other,85,16/02/23,Post-IPO,WA,Washington
Evernote,SF Bay Area,Consumer,129,17/02/23,Acquired,CA,California
Chipper Cash,SF Bay Area,Finance,100,17/02/23,Series C,CA,California
Reserve,SF Bay Area,Crypto,176,17/02/23,Unknown,CA,California
Digimarc,Portland,Other,403,17/02/23,Post-IPO,OR,Oregon
Fireblocks,New York City,Crypto,30,20/02/23,Series E,NY,New York
Ethos Life,SF Bay Area,Finance,50,21/02/23,Series D,CA,California
PeerStreet,Los Angeles,Real Estate,260,21/02/23,Series C,CA,California
Jounce Therapeutics,Boston,Healthcare,148,22/02/23,Acquired,MA,Massachusetts
Arch Oncology,St. Louis,Healthcare,148,22/02/23,Series C,MO,Missouri
Locomation,Pittsburgh,Transportation,358,22/02/23,Seed,PA,Pennsylvania
TaskUs,San Antonio,Support,186,22/02/23,Post-IPO,TX,Texas
EVgo,Los Angeles,Transportation,40,23/02/23,Post-IPO,CA,California
StrongDM,SF Bay Area,Infrastructure,40,23/02/23,Series B,CA,California
Merative,Ann Arbor,Healthcare,200,23/02/23,Acquired,MI,Michigan
Messari,New York City,Crypto,176,23/02/23,Series B,NY,New York
Vibrent Health,Washington D.C.,Healthcare,148,23/02/23,Unknown,VA,Virginia
Dapper Labs,Vancouver,Crypto,176,23/02/23,Series D,WA,Washington
Velodyne Lidar,SF Bay Area,Transportation,220,24/02/23,Acquired,CA,California
Medallia,SF Bay Area,Support,59,24/02/23,Acquired,CA,California
Eat Just,SF Bay Area,Food,40,24/02/23,Unknown,CA,California
Lucira Health,SF Bay Area,Healthcare,26,24/02/23,Post-IPO,CA,California
Poshmark,SF Bay Area,Retail,603,24/02/23,Acquired,CA,California
Stax,Orlando,Finance,24,24/02/23,Series D,FL,Florida
Twitter,SF Bay Area,Consumer,200,25/02/23,Post-IPO,CA,California
Cerebral,SF Bay Area,Healthcare,285,27/02/23,Series C,CA,California
Stytch,SF Bay Area,Security,19,27/02/23,Series B,CA,California
Palantir,Denver,Data,75,27/02/23,Post-IPO,CO,Colorado
Amount,Chicago,Finance,130,27/02/23,Unknown,IL,Illinois
Outreach,Seattle,Sales,70,27/02/23,Series G,WA,Washington
Eventbrite,SF Bay Area,Consumer,80,28/02/23,Post-IPO,CA,California
MeridianLink,Los Angeles,Finance,144,28/02/23,Post-IPO,CA,California
Electronic Arts,Baton Rouge,Consumer,200,28/02/23,Post-IPO,LA,Louisiana
Color Health,SF Bay Area,Healthcare,300,01/03/23,Series E,CA,California
Waymo,SF Bay Area,Transportation,209,01/03/23,Subsidiary,CA,California
Yellow.ai,SF Bay Area,Support,200,01/03/23,Series C,CA,California
Sonder,SF Bay Area,Travel,100,01/03/23,Post-IPO,CA,California
Thoughtworks,Chicago,Other,500,01/03/23,Post-IPO,IL,Illinois
Protego Trust Bank,Seattle,Crypto,176,01/03/23,Series A,WA,Washington
Zscaler,SF Bay Area,Security,177,02/03/23,Post-IPO,CA,California
MasterClass,SF Bay Area,Education,79,02/03/23,Series E,CA,California
CNET,SF Bay Area,Media,12,02/03/23,Acquired,CA,California
Kandela,Los Angeles,Consumer,788,02/03/23,Acquired,CA,California
Truckstop.com,Boise,Logistics,131,02/03/23,Acquired,ID,Idaho
Orchard,New York City,Real Estate,260,02/03/23,Series D,NY,New York
Embark Trucks,SF Bay Area,Transportation,230,03/03/23,Post-IPO,CA,California
UserTesting,SF Bay Area,Marketing,63,03/03/23,Acquired,CA,California
Airbnb,SF Bay Area,Travel,30,03/03/23,Post-IPO,CA,California
Indigo,Boston,Other,403,03/03/23,Series F,MA,Massachusetts
Accolade,Seattle,Healthcare,148,03/03/23,Post-IPO,WA,Washington
UKG,Miami,HR,265,06/03/23,Unknown,FL,Florida
SiriusXM,New York City,Media,475,06/03/23,Post-IPO,NY,New York
Zwift,Los Angeles,Fitness,80,07/03/23,Series C,CA,California
Catch,New York City,Finance,144,07/03/23,Series A,NY,New York
Take-Two Interactive,New York City,Consumer,788,07/03/23,Post-IPO,NY,New York
Zulily,Seattle,Retail,603,07/03/23,Acquired,WA,Washington
Appcues,Boston,Data,119,08/03/23,Series B,MA,Massachusetts
Toucan,Los Angeles,Education,69,09/03/23,Series A,CA,California
Bonusly,Boulder,HR,146,09/03/23,Series B,CO,Colorado
Morning Brew,New York City,Media,40,09/03/23,Acquired,NY,New York
Gopuff,Philadelphia,Food,100,09/03/23,Series H,PA,Pennsylvania
Neoleukin Therapeutics,Seattle,Healthcare,148,09/03/23,Post-IPO,WA,Washington
Meta,SF Bay Area,Consumer,10000,14/03/23,Post-IPO,CA,California
Anchorage Digital,SF Bay Area,Crypto,75,14/03/23,Series D,CA,California
Samsung,SF Bay Area,Hardware,30,14/03/23,Post-IPO,CA,California
Kaleidoscope,Minneapolis,Finance,15,14/03/23,Series A,MN,Minnesota
Fetch,Madison,Retail,100,14/03/23,Series E,WI,Wisconsin
Klaviyo,Boston,Marketing,140,15/03/23,Unknown,MA,Massachusetts
Hometap,Boston,Real Estate,260,15/03/23,Unknown,MA,Massachusetts
Boxed,New York City,Retail,32,15/03/23,Post-IPO,NY,New York
Coherent,SF Bay Area,Manufacturing,108,16/03/23,Post-IPO,CA,California
Course Hero,SF Bay Area,Education,42,16/03/23,Series C,CA,California
Freshworks,SF Bay Area,Support,125,16/03/23,Post-IPO,CA,California
Bonusly,Boulder,HR,146,16/03/23,Series B,CO,Colorado
Leafly,Seattle,Retail,40,16/03/23,Post-IPO,WA,Washington
Candor Technology,Atlanta,Real Estate,260,17/03/23,Unknown,GA,Georgia
Amazon,Seattle,Retail,9000,20/03/23,Post-IPO,WA,Washington
Marvell,SF Bay Area,Hardware,320,21/03/23,Post-IPO,CA,California
Grin,Sacramento,Marketing,83,21/03/23,Series B,CA,California
Expedia,Seattle,Travel,265,21/03/23,Post-IPO,WA,Washington
Glassdoor,SF Bay Area,HR,140,22/03/23,Acquired,CA,California
Roofstock,SF Bay Area,Real Estate,260,22/03/23,Series E,CA,California
Indeed,Austin,HR,2200,22/03/23,Acquired,TX,Texas
Veeam,Columbus,Data,200,23/03/23,Acquired,OH,Ohio
