company,location,industry,total_laid_off,date,stage,state
Elastic,SF Bay Area,Data,119,30/11/22,Post-IPO,CA
Motional,Boston,Transportation,358,30/11/22,Unknown,MA
Pinterest,SF Bay Area,Consumer,788,30/11/22,Post-IPO,CA
Sana,Seattle,Healthcare,148,30/11/22,Series A,WA
Venafi,Salt Lake City,Security,121,30/11/22,Acquired,UT
Bitfront,SF Bay Area,Crypto,176,29/11/22,Unknown,CA
Codexis,SF Bay Area,Healthcare,148,29/11/22,Post-IPO,CA
Firework,SF Bay Area,Retail,603,29/11/22,Series B,CA
Proton.ai,Boston,Sales,494,29/11/22,Series A,MA
Candy Digital,New York City,Crypto,33,28/11/22,Series A,NY
BlockFi,New York City,Crypto,176,28/11/22,Series E,NY
Inspectify,Seattle,Real Estate,260,28/11/22,Series A,WA
NCX,SF Bay Area,Energy,222,28/11/22,Series B,CA
Assure,Salt Lake City,Finance,144,23/11/22,Seed,UT
Western Digital,SF Bay Area,Hardware,251,22/11/22,Post-IPO,CA
Natera,SF Bay Area,Healthcare,148,22/11/22,Post-IPO,CA
Devo,Boston,Security,121,21/11/22,Series F,MA
GloriFi,Dallas,Finance,144,21/11/22,Unknown,TX
Carvana,Phoenix,Transportation,1500,18/11/22,Post-IPO,AZ
Nuro,SF Bay Area,Transportation,300,18/11/22,Series D,CA
Synthego,SF Bay Area,Healthcare,105,18/11/22,Series E,CA
Capitolis,New York City,Finance,144,18/11/22,Series D,NY
Metaplex,Chicago,Crypto,176,18/11/22,Unknown,IL
StoryBlocks,Washington D.C.,Media,70,18/11/22,Acquired,VA
Unchained Capital,Austin,Crypto,176,18/11/22,Series A,TX
Roku,SF Bay Area,Media,200,17/11/22,Post-IPO,CA
Orchard,New York City,Real Estate,180,17/11/22,Series D,NY
Homepoint,Phoenix,Real Estate,113,17/11/22,Post-IPO,AZ
Chili Piper,New York City,Sales,58,17/11/22,Series B,NY
Capitolis,New York City,Finance,37,17/11/22,Series D,NY
Kandji,San Diego,Other,403,17/11/22,Series C,CA
Morning Brew,New York City,Media,70,17/11/22,Acquired,NY
Amazon,Seattle,Retail,10000,16/11/22,Post-IPO,WA
Cisco,SF Bay Area,Infrastructure,4100,16/11/22,Post-IPO,CA
SimilarWeb,New York City,Other,120,16/11/22,Post-IPO,NY
Salsify,Boston,Retail,90,16/11/22,Series F,MA
Lokalise,Dover,Other,76,16/11/22,Series B,DE
Yotpo,New York City,Marketing,70,16/11/22,Unknown,NY
Pear Therapeutics,Boston,Healthcare,59,16/11/22,Post-IPO,MA
Homeward,Austin,Real Estate,260,16/11/22,Unknown,TX
Kite,SF Bay Area,Product,56,16/11/22,Series A,CA
UiPath,New York City,Data,241,15/11/22,Post-IPO,NY
Asana,SF Bay Area,Other,180,15/11/22,Post-IPO,CA
OwnBackup,New York City,Security,170,15/11/22,Series E,NY
Productboard,SF Bay Area,Product,100,15/11/22,Series D,CA
Protocol,SF Bay Area,Media,60,15/11/22,Acquired,CA
The Zebra,Austin,Finance,50,15/11/22,Series D,TX
CaptivateIQ,SF Bay Area,Sales,31,15/11/22,Series C,CA
Nirvana Money,Miami,Finance,144,15/11/22,Unknown,FL
OfferUp,Seattle,Retail,603,15/11/22,Unknown,WA
Outside,Boulder,Media,70,15/11/22,Series B,CO
Rubicon Technologies,Lexington,Other,403,15/11/22,Post-IPO,NC
Illumina,San Diego,Healthcare,500,14/11/22,Post-IPO,CA
Sema4,Stamford,Healthcare,500,14/11/22,Post-IPO,CT
iFit,Logan,Fitness,300,14/11/22,Private Equity,UT
Ribbon,New York City,Real Estate,170,14/11/22,Series C,NY
Intercom,SF Bay Area,Support,124,14/11/22,Series D,CA
Science 37 ,Los Angeles,Healthcare,90,14/11/22,Post-IPO,CA
Pear Therapeutics,Boston,Healthcare,59,14/11/22,Post-IPO,MA
Cardlytics,Atlanta,Marketing,51,14/11/22,Post-IPO,GA
Cloudinary,SF Bay Area,Media,40,14/11/22,Unknown,CA
Tricida,SF Bay Area,Healthcare,148,14/11/22,Post-IPO,CA
Veev,SF Bay Area,Real Estate,100,11/11/22,Series D,CA
Juniper,Atlanta,Marketing,83,11/11/22,Acquired,GA
Offerpad,Phoenix,Real Estate,260,11/11/22,Post-IPO,AZ
Juul,SF Bay Area,Consumer,400,10/11/22,Unknown,CA
Blend,SF Bay Area,Finance,100,10/11/22,Post-IPO,CA
InfluxData,SF Bay Area,Data,65,10/11/22,Series D,CA
Coinbase,SF Bay Area,Crypto,60,10/11/22,Post-IPO,CA
SoundHound,SF Bay Area,Other,45,10/11/22,Post-IPO,CA
Wistia,Boston,Marketing,40,10/11/22,Unknown,MA
Ocavu,Lehi,Crypto,20,10/11/22,Series A,UT
Avast,Phoenix,Security,121,10/11/22,Unknown,AZ
Reforge,SF Bay Area,Education,69,10/11/22,Series B,CA
Wavely,SF Bay Area,HR,146,10/11/22,Unknown,CA
ZenBusiness,Austin,Other,403,10/11/22,Series C,TX
Meta,SF Bay Area,Consumer,11000,09/11/22,Post-IPO,CA
Redfin,Seattle,Real Estate,862,09/11/22,Post-IPO,WA
Flyhomes,Seattle,Real Estate,300,09/11/22,Series C,WA
AvantStay,Los Angeles,Travel,144,09/11/22,Private Equity,CA
Root Insurance,Columbus,Finance,137,09/11/22,Post-IPO,OH
Liftoff,SF Bay Area,Marketing,130,09/11/22,Acquired,CA
Cameo,Chicago,Consumer,80,09/11/22,Unknown,IL
Kabam,SF Bay Area,Consumer,35,09/11/22,Acquired,CA
Amobee,SF Bay Area,Marketing,83,09/11/22,Acquired,CA
Coursera,SF Bay Area,Education,69,09/11/22,Post-IPO,CA
Faze Medicines,Boston,Healthcare,148,09/11/22,Series B,MA
RingCentral,SF Bay Area,Other,403,09/11/22,Post-IPO,CA
EverBridge,Boston,Other,200,08/11/22,Post-IPO,MA
Repertoire Immune Medicines,Boston,Healthcare,65,08/11/22,Series B,MA
Astra,SF Bay Area,Aerospace,70,08/11/22,Post-IPO,CA
NanoString,Seattle,Healthcare,148,08/11/22,Post-IPO,WA
SADA,Los Angeles,Other,403,08/11/22,Acquired,CA
Salesforce,SF Bay Area,Sales,1000,07/11/22,Post-IPO,CA
Zendesk,SF Bay Area,Support,350,07/11/22,Acquired,CA
Code42,Minneapolis,Security,121,07/11/22,Unknown,MN
Domino Data Lab,SF Bay Area,Data,119,07/11/22,Series F,CA
Varonis,New York City,Security,110,06/11/22,Post-IPO,NY
Twitter,SF Bay Area,Consumer,3700,04/11/22,Post-IPO,CA
Exodus,Nebraska City,Crypto,59,04/11/22,Unknown,NE
Benitago Group,New York City,Retail,603,04/11/22,Series A,NY
Mythical Games,Los Angeles,Crypto,176,04/11/22,Series C,CA
Stripe,SF Bay Area,Finance,1000,03/11/22,Series H,CA
Lyft,SF Bay Area,Transportation,700,03/11/22,Post-IPO,CA
LendingTree,Charlotte,Finance,200,03/11/22,Post-IPO,NC
Shippo,SF Bay Area,Logistics,60,03/11/22,Series E,CA
Affirm,SF Bay Area,Finance,144,03/11/22,Post-IPO,CA
CloudKitchens,Los Angeles,Real Estate,260,03/11/22,Unknown,CA
LiveRamp,SF Bay Area,Marketing,83,03/11/22,Post-IPO,CA
Provi,Chicago,Food,259,03/11/22,Series C,IL
Rubius,Boston,Healthcare,148,03/11/22,Post-IPO,MA
Snapdocs,SF Bay Area,Real Estate,260,03/11/22,Series D,CA
Studio,SF Bay Area,Education,69,03/11/22,Series B,CA
Opendoor,SF Bay Area,Real Estate,550,02/11/22,Post-IPO,CA
Chime,SF Bay Area,Finance,156,02/11/22,Series G,CA
Chargebee,SF Bay Area,Finance,142,02/11/22,Series H,CA
Dapper Labs,Vancouver,Crypto,134,02/11/22,Series D,WA
Iron Ox,SF Bay Area,Food,50,02/11/22,Series C,CA
Digital Currency Gruop,Stamford,Crypto,10,02/11/22,Unknown,CT
Argo AI,SF Bay Area,Transportation,259,01/11/22,Unknown,CA
Booking.com,Grand Rapids,Travel,226,01/11/22,Acquired,MI
Oracle,SF Bay Area,Other,200,01/11/22,Post-IPO,CA
Upstart,SF Bay Area,Finance,140,01/11/22,Post-IPO,CA
Gem,SF Bay Area,Recruiting,100,01/11/22,Series C,CA
Brightline,SF Bay Area,Healthcare,148,01/11/22,Series C,CA
Help Scout,Boston,Support,125,01/11/22,Series B,MA
Notarize,Boston,Legal,60,31/10/22,Series D,MA
EquityZen,New York City,Finance,30,31/10/22,Series B,NY
Equitybee,SF Bay Area,Finance,25,31/10/22,Series B,CA
Amazon,Seattle,Retail,150,28/10/22,Post-IPO,WA
Fifth Season,Pittsburgh,Food,100,28/10/22,Series B,PA
Recharge,Los Angeles,Finance,84,27/10/22,Series B,CA
Lattice,SF Bay Area,HR,13,27/10/22,Series F,CA
MindBody,San Luis Obispo,Fitness,400,26/10/22,Post-IPO,CA
Zillow,Seattle,Real Estate,300,26/10/22,Post-IPO,WA
Cybereason,Boston,Security,200,26/10/22,Series F,MA
Argo AI,Pittsburgh,Transportation,173,26/10/22,Unknown,PA
GoFundMe,SF Bay Area,Finance,94,26/10/22,Series A,CA
Carbon,SF Bay Area,Hardware,1460,26/10/22,Series E,CA
Fundbox,SF Bay Area,Finance,150,25/10/22,Series D,CA
Embroker,SF Bay Area,Finance,30,25/10/22,Series C,CA
Callisto Media,SF Bay Area,Media,70,25/10/22,Series D,CA
Convoy,Seattle,Logistics,131,25/10/22,Series E,WA
Cerebral,SF Bay Area,Healthcare,400,24/10/22,Series C,CA
Snyk,Boston,Security,198,24/10/22,Series F,MA
Khoros,Austin,Sales,120,21/10/22,Private Equity,TX
F5,Seattle,Security,100,21/10/22,Post-IPO,WA
Volta,SF Bay Area,Transportation,358,21/10/22,Post-IPO,CA
Zeus Living,SF Bay Area,Real Estate,64,20/10/22,Series C,CA
Loom,SF Bay Area,Product,23,20/10/22,Series C,CA
Sales Boomerang,Baltimore,Sales,20,20/10/22,Private Equity,MD
Roofstock,SF Bay Area,Real Estate,260,20/10/22,Series E,CA
Starry,Boston,Other,403,20/10/22,Post-IPO,MA
Gopuff,Philadelphia,Food,250,19/10/22,Series H,PA
AtoB,SF Bay Area,Finance,32,19/10/22,Series B,CA
Clever Real Estate,St. Louis,Real Estate,260,19/10/22,Series B,MO
Side,SF Bay Area,Real Estate,260,19/10/22,Unknown,CA
Faire,SF Bay Area,Retail,84,18/10/22,Series G,CA
Leafly,Seattle,Retail,56,18/10/22,Post-IPO,WA
Microsoft,Seattle,Other,403,17/10/22,Post-IPO,WA
Flipboard,SF Bay Area,Media,24,16/10/22,Unknown,CA
Clear Capital,Reno,Real Estate,378,14/10/22,Unknown,NV
Beyond Meat,Los Angeles,Food,200,14/10/22,Post-IPO,CA
Salesforce,SF Bay Area,Sales,90,13/10/22,Post-IPO,CA
Playdots,New York City,Consumer,65,13/10/22,Acquired,NY
ExtraHop,Seattle,Security,121,13/10/22,Series C,WA
6sense,SF Bay Area,Sales,150,12/10/22,Series E,CA
Noom,New York City,Healthcare,500,11/10/22,Series F,NY
MX,Lehi,Finance,200,11/10/22,Series C,UT
Brex,SF Bay Area,Finance,136,11/10/22,Series D,CA
Pacaso,SF Bay Area,Real Estate,100,11/10/22,Series C,CA
Udacity,SF Bay Area,Education,55,11/10/22,Unknown,CA
VanHack,Vancouver,HR,146,11/10/22,Seed,WA
HelloFresh,SF Bay Area,Food,611,10/10/22,Post-IPO,CA
Momentive,SF Bay Area,Marketing,180,10/10/22,Post-IPO,CA
Pavilion Data,SF Bay Area,Infrastructure,96,10/10/22,Series D,CA
Redesign Health,New York City,Healthcare,67,10/10/22,Series C,NY
Nyriad,Austin,Infrastructure,280,10/10/22,Unknown,TX
BioMarin,SF Bay Area,Healthcare,120,07/10/22,Post-IPO,CA
Rev.com,Austin,Data,85,07/10/22,Series D,TX
Peloton,New York City,Fitness,500,06/10/22,Post-IPO,NY
Landing,Birmingham,Real Estate,110,06/10/22,Series C,AL
Turnitin,SF Bay Area,Education,51,06/10/22,Acquired,CA
Impossible Foods,SF Bay Area,Food,50,06/10/22,Series H,CA
Foresight Insurance,SF Bay Area,Finance,144,06/10/22,Series B,CA
Built In,Chicago,Recruiting,50,05/10/22,Series C,IL
TwinStrand,Seattle,Healthcare,148,05/10/22,Series B,WA
8x8,SF Bay Area,Support,200,04/10/22,Post-IPO,CA
Homie,Salt Lake City,Real Estate,40,04/10/22,Series B,UT
Fivetran,SF Bay Area,Data,119,04/10/22,Series D,CA
ActiveCampaign,Chicago,Marketing,83,03/10/22,Series C,IL
Tempo,SF Bay Area,Fitness,473,03/10/22,Series C,CA
Spin,SF Bay Area,Transportation,78,30/09/22,Acquired,CA
Pastel,SF Bay Area,Food,259,30/09/22,Unknown,CA
Truepill,SF Bay Area,Healthcare,148,30/09/22,Series D,CA
Mux,SF Bay Area,Infrastructure,40,29/09/22,Series D,CA
DocuSign,SF Bay Area,Sales,671,28/09/22,Post-IPO,CA
Front,SF Bay Area,Support,125,28/09/22,Series D,CA
Volta,SF Bay Area,Transportation,358,28/09/22,Post-IPO,CA
Divvy Homes,SF Bay Area,Real Estate,40,27/09/22,Series B,CA
Instacart,SF Bay Area,Food,259,24/09/22,Unknown,CA
Foxtrot,Chicago,Food,26,23/09/22,Series C,IL
Pesto,SF Bay Area,Other,403,23/09/22,Seed,CA
NYDIG,New York City,Crypto,110,22/09/22,Private Equity,NY
Kitty Hawk,SF Bay Area,Aerospace,100,21/09/22,Unknown,CA
Candidate Labs,SF Bay Area,HR,146,21/09/22,Seed,CA
Compass,New York City,Real Estate,271,20/09/22,Post-IPO,NY
Curative,Los Angeles,Healthcare,109,20/09/22,Seed,CA
Ouster,SF Bay Area,Transportation,358,20/09/22,Post-IPO,CA
Zappos,Las Vegas,Retail,603,20/09/22,Acquired,NV
Vesalius Therapeutics,Boston,Healthcare,29,19/09/22,Series B,MA
VideoAmp,Los Angeles,Marketing,83,19/09/22,Series F,CA
LivePerson,New York City,Support,193,15/09/22,Post-IPO,NY
WorkRamp,SF Bay Area,HR,35,15/09/22,Series C,CA
DayTwo,SF Bay Area,Healthcare,148,15/09/22,Series B,CA
NextRoll,SF Bay Area,Marketing,83,15/09/22,Unknown,CA
Twilio,SF Bay Area,Other,800,14/09/22,Post-IPO,CA
Netflix,SF Bay Area,Media,30,14/09/22,Post-IPO,CA
Rubius,Boston,Healthcare,160,13/09/22,Post-IPO,MA
Taboola,New York City,Marketing,100,13/09/22,Post-IPO,NY
Patreon,SF Bay Area,Media,80,13/09/22,Series F,CA
FullStory,Atlanta,Marketing,83,13/09/22,Unknown,GA
Mode Analytics,SF Bay Area,Data,25,12/09/22,Series D,CA
Karbon,SF Bay Area,Other,403,12/09/22,Series B,CA
Rent the Runway,New York City,Retail,603,12/09/22,Post-IPO,NY
Sama,SF Bay Area,Data,119,12/09/22,Series B,CA
Patreon,SF Bay Area,Media,5,09/09/22,Series F,CA
CommonBond,New York City,Finance,144,09/09/22,Series D,NY
DreamBox Learning,Seattle,Education,69,09/09/22,Acquired,WA
Flowhub,Denver,Retail,603,09/09/22,Unknown,CO
Genome Medical,SF Bay Area,Healthcare,23,08/09/22,Series C,CA
BigBear.ai,Baltimore,Data,119,08/09/22,Post-IPO,MD
Realtor.com,SF Bay Area,Real Estate,260,08/09/22,Acquired,CA
Intercom,SF Bay Area,Support,49,07/09/22,Series D,CA
Pendo,Raleigh,Product,45,07/09/22,Series F,NC
Demandbase,SF Bay Area,Sales,27,07/09/22,Series H,CA
Medly,New York City,Healthcare,148,07/09/22,Series C,NY
Brave Care,Portland,Healthcare,40,06/09/22,Series B,OR
Juniper Square,SF Bay Area,Real Estate,260,06/09/22,Series C,CA
Medium,SF Bay Area,Media,70,06/09/22,Unknown,CA
Innovaccer,SF Bay Area,Healthcare,90,01/09/22,Series E,CA
Snap,Los Angeles,Consumer,1280,31/08/22,Post-IPO,CA
GoodRx,Los Angeles,Healthcare,140,31/08/22,Post-IPO,CA
Hippo Insurance,SF Bay Area,Finance,70,31/08/22,Post-IPO,CA
Clari,SF Bay Area,Sales,45,31/08/22,Series F,CA
TCR2,Boston,Healthcare,30,31/08/22,Post-IPO,MA
Apartment List,SF Bay Area,Real Estate,29,31/08/22,Series D,CA
Snagajob,Richmond,HR,146,31/08/22,Unknown,VA
The Wing,New York City,Real Estate,260,31/08/22,Series C,NY
Electric,New York City,Other,81,30/08/22,Series D,NY
Nate,New York City,Retail,30,30/08/22,Series A,NY
54gene,Washington D.C.,Healthcare,95,29/08/22,Series B,VA
Fungible,SF Bay Area,Crypto,176,29/08/22,Series C,CA
Skillz,SF Bay Area,Consumer,788,29/08/22,Post-IPO,CA
Zymergen,SF Bay Area,Other,80,26/08/22,Acquired,CA
Okta,SF Bay Area,Security,24,26/08/22,Post-IPO,CA
Argyle,New York City,Finance,20,26/08/22,Series B,NY
Better.com,New York City,Real Estate,260,26/08/22,Unknown,NY
FreshDirect,Philadelphia,Food,40,25/08/22,Acquired,PA
Impact.com,Los Angeles,Marketing,83,25/08/22,Private Equity,CA
ShipBob,Chicago,Logistics,131,25/08/22,Series E,IL
Reali,SF Bay Area,Real Estate,140,24/08/22,Series B,CA
Loop,Washington D.C.,Finance,15,24/08/22,Series A,VA
Pix,SF Bay Area,Food,259,24/08/22,Unknown,CA
Packable,New York City,Retail,138,23/08/22,Unknown,NY
Skedulo,SF Bay Area,HR,31,23/08/22,Series C,CA
Plato,SF Bay Area,HR,29,23/08/22,Seed,CA
DataRobot,Boston,Data,119,23/08/22,Series G,MA
Skillshare,New York City,Education,69,23/08/22,Unknown,NY
Tufin,Boston,Security,55,21/08/22,Acquired,MA
Amperity,Seattle,Marketing,13,20/08/22,Series D,WA
Wayfair,Boston,Retail,870,19/08/22,Post-IPO,MA
Stripe,SF Bay Area,Finance,50,19/08/22,Series H,CA
New Relic,SF Bay Area,Infrastructure,110,18/08/22,Post-IPO,CA
Wheel,Austin,Healthcare,35,18/08/22,Series C,TX
Petal,New York City,Finance,144,18/08/22,Series D,NY
Thirty Madison,New York City,Healthcare,148,18/08/22,Series C,NY
Malwarebytes,SF Bay Area,Security,125,17/08/22,Series B,CA
Tempo Automation,SF Bay Area,Other,54,17/08/22,Series C,CA
Genesis,New York City,Crypto,52,17/08/22,Series A,NY
Woven,Indianapolis,HR,5,16/08/22,Series A,IN
Edmodo,SF Bay Area,Education,69,16/08/22,Acquired,CA
Snapdocs,SF Bay Area,Real Estate,260,16/08/22,Series D,CA
Updater,New York City,Other,403,16/08/22,Unknown,NY
Sema4,Stamford,Healthcare,250,15/08/22,Post-IPO,CT
Blend,SF Bay Area,Finance,220,15/08/22,Post-IPO,CA
ContraFect,New York City,Healthcare,16,15/08/22,Post-IPO,NY
ThredUp,Chicago,Retail,603,15/08/22,Post-IPO,IL
Almanac,SF Bay Area,Other,403,13/08/22,Series A,CA
Peloton,New York City,Fitness,784,12/08/22,Post-IPO,NY
Core Scientific,Austin,Crypto,176,12/08/22,Post-IPO,TX
Orbit,SF Bay Area,Other,403,12/08/22,Series A,CA
Truepill,SF Bay Area,Healthcare,175,11/08/22,Series D,CA
Calm,SF Bay Area,Healthcare,90,11/08/22,Series C,CA
FourKites,Chicago,Logistics,60,11/08/22,Series D,IL
Guidewire,SF Bay Area,Finance,144,11/08/22,Post-IPO,CA
Homeward,Austin,Real Estate,260,10/08/22,Series B,TX
Vedanta Biosciences,Boston,Healthcare,148,10/08/22,Series D,MA
GoHealth,Chicago,Healthcare,800,09/08/22,Post-IPO,IL
Nutanix,SF Bay Area,Infrastructure,270,09/08/22,Post-IPO,CA
Quanterix,Boston,Healthcare,130,09/08/22,Post-IPO,MA
Melio,New York City,Finance,60,09/08/22,Series D,NY
Shogun,SF Bay Area,Retail,48,09/08/22,Series C,CA
Absci,Vancouver,Healthcare,40,09/08/22,Post-IPO,WA
Berkeley Lights,SF Bay Area,Healthcare,148,09/08/22,Post-IPO,CA
DailyPay,New York City,Finance,144,09/08/22,Unknown,NY
Haus,SF Bay Area,Food,259,09/08/22,Seed,CA
Kaltura,New York City,Media,70,09/08/22,Post-IPO,NY
Shift,SF Bay Area,Transportation,358,09/08/22,Post-IPO,CA
Sweetgreen,Los Angeles,Food,259,09/08/22,Post-IPO,CA
Groupon,Chicago,Retail,500,08/08/22,Post-IPO,IL
Vroom,New York City,Transportation,337,08/08/22,Post-IPO,NY
Warby Parker,New York City,Consumer,63,08/08/22,Post-IPO,NY
Labelbox,SF Bay Area,Data,36,08/08/22,Series D,CA
Daily Harvest,New York City,Food,259,08/08/22,Series D,NY
DataRobot,Boston,Data,119,08/08/22,Series G,MA
iRobot,Boston,Consumer,140,05/08/22,Acquired,MA
Slync,Dallas,Logistics,131,05/08/22,Series B,TX
Talkdesk,SF Bay Area,Support,125,05/08/22,Series D,CA
Doma,SF Bay Area,Finance,250,04/08/22,Post-IPO,CA
Jam City,Los Angeles,Consumer,200,04/08/22,Unknown,CA
10X Genomics,SF Bay Area,Healthcare,100,04/08/22,Post-IPO,CA
Zendesk,SF Bay Area,Support,80,04/08/22,Acquired,CA
On Deck,SF Bay Area,Education,73,04/08/22,Series A,CA
RingCentral,SF Bay Area,Support,50,04/08/22,Post-IPO,CA
Medly,New York City,Healthcare,148,04/08/22,Series C,NY
StubHub,SF Bay Area,Consumer,788,04/08/22,Acquired,CA
Weedmaps,Los Angeles,Other,403,04/08/22,Acquired,CA
Healthcare.com,Miami,Healthcare,149,03/08/22,Series C,FL
Beyond Meat,Los Angeles,Food,40,03/08/22,Post-IPO,CA
Puppet,Portland,Infrastructure,280,03/08/22,Acquired,OR
Robinhood,SF Bay Area,Finance,713,02/08/22,Post-IPO,CA
Latch,New York City,Security,115,02/08/22,Post-IPO,NY
Seegrid,Pittsburgh,Logistics,90,02/08/22,Unknown,PA
Nylas,SF Bay Area,Product,80,02/08/22,Series C,CA
Outreach,Seattle,Sales,60,02/08/22,Series G,WA
The Predictive Index,Boston,HR,40,02/08/22,Acquired,MA
Stedi,Boulder,Product,23,02/08/22,Series B,CO
Glossier,New York City,Retail,19,02/08/22,Series E,NY
Butterfly Network,New Haven,Healthcare,148,02/08/22,Post-IPO,CT
FuboTV,New York City,Media,70,02/08/22,Post-IPO,NY
Classkick,Chicago,Education,69,01/08/22,Seed,IL
Oracle,SF Bay Area,Other,403,01/08/22,Post-IPO,CA
Perceptive Automata,Boston,Transportation,358,01/08/22,Series A,MA
Imperfect Foods,SF Bay Area,Food,50,29/07/22,Series D,CA
Shelf Engine,Seattle,Food,43,29/07/22,Series B,WA
Quantcast,SF Bay Area,Marketing,40,29/07/22,Series C,CA
Ribbon,New York City,Real Estate,136,28/07/22,Series C,NY
Career Karma,SF Bay Area,Education,60,28/07/22,Series B,CA
Metromile,SF Bay Area,Finance,60,28/07/22,Acquired,CA
Allbirds,SF Bay Area,Retail,23,28/07/22,Post-IPO,CA
2U,Washington D.C.,Education,69,28/07/22,Post-IPO,VA
Brainbase,Los Angeles,Sales,494,28/07/22,Series A,CA
Change.org,SF Bay Area,Other,403,28/07/22,Series D,CA
Tapas Media,SF Bay Area,Media,70,28/07/22,Acquired,CA
Turntide,SF Bay Area,Energy,222,28/07/22,Unknown,CA
Rivian,Detroit,Transportation,840,27/07/22,Post-IPO,MI
Vox Media,Washington D.C.,Media,39,27/07/22,Series F,VA
Outbrain,New York City,Marketing,38,26/07/22,Post-IPO,NY
Dover,SF Bay Area,Recruiting,23,26/07/22,Series A,CA
Zymergen,SF Bay Area,Other,80,25/07/22,Acquired,CA
Pear Therapeutics ,Boston,Healthcare,25,25/07/22,Post-IPO,MA
 Included Health,SF Bay Area,Healthcare,148,25/07/22,Series E,CA
Workstream,SF Bay Area,HR,45,22/07/22,Series B,CA
Clarify Health,SF Bay Area,Healthcare,15,22/07/22,Series D,CA
Arete,Miami,Security,121,22/07/22,Unknown,FL
Boosted Commerce,Los Angeles,Retail,603,22/07/22,Series B,CA
Owlet,Lehi,Healthcare,148,22/07/22,Post-IPO,UT
People.ai,SF Bay Area,Sales,494,22/07/22,Series D,CA
Wizeline,SF Bay Area,Product,56,22/07/22,Acquired,CA
Callisto Media,SF Bay Area,Media,140,21/07/22,Series D,CA
AppGate,Miami,Security,130,21/07/22,Post-IPO,FL
WHOOP,Boston,Fitness,95,21/07/22,Series F,MA
Rad Power Bikes,Seattle,Transportation,63,21/07/22,Series D,WA
Lunchbox,New York City,Food,60,21/07/22,Series B,NY
RealSelf,Seattle,Healthcare,11,21/07/22,Series B,WA
98point6,Seattle,Healthcare,148,21/07/22,Series E,WA
Catalyst,New York City,Support,125,21/07/22,Series B,NY
InVision,New York City,Product,56,21/07/22,Series F,NY
Mural,SF Bay Area,Product,56,21/07/22,Series C,CA
Smarsh,Portland,Other,403,21/07/22,Private Equity,OR
Flyhomes,Seattle,Real Estate,200,20/07/22,Series C,WA
Varo,SF Bay Area,Finance,75,20/07/22,Series E,CA
BlueStacks,SF Bay Area,Other,60,20/07/22,Series C,CA
Lyft,SF Bay Area,Transportation,60,20/07/22,Post-IPO,CA
Splice,New York City,Media,23,20/07/22,Series D,NY
Arc,SF Bay Area,HR,13,20/07/22,Seed,CA
Invitae,SF Bay Area,Healthcare,1000,19/07/22,Post-IPO,CA
Olive,Columbus,Healthcare,450,19/07/22,Series H,OH
M1,Chicago,Finance,38,19/07/22,Series E,IL
Capsule,New York City,Healthcare,148,19/07/22,Series D,NY
PACT Pharma,SF Bay Area,Healthcare,94,18/07/22,Series C,CA
Gemini,New York City,Crypto,68,18/07/22,Unknown,NY
Lusha,New York City,Marketing,30,18/07/22,Series B,NY
Elemy,SF Bay Area,Healthcare,148,18/07/22,Series B,CA
Freshly,New York City,Food,259,18/07/22,Acquired,NY
Hydrow,Boston,Fitness,473,18/07/22,Series D,MA
TikTok,Los Angeles,Consumer,788,18/07/22,Acquired,CA
Vimeo,New York City,Consumer,788,18/07/22,Post-IPO,NY
Project44,Chicago,Logistics,63,15/07/22,Unknown,IL
Aspire,SF Bay Area,Marketing,23,15/07/22,Series A,CA
StyleSeat,SF Bay Area,Consumer,788,15/07/22,Series C,CA
The Mom Project,Chicago,HR,54,14/07/22,Series C,IL
Unstoppable Domains,SF Bay Area,Crypto,42,14/07/22,Series B,CA
Kiavi,SF Bay Area,Real Estate,39,14/07/22,Series E,CA
Alto Pharmacy,SF Bay Area,Healthcare,148,14/07/22,Series E,CA
OpenSea,New York City,Crypto,176,14/07/22,Series C,NY
Tonal,SF Bay Area,Fitness,262,13/07/22,Series E,CA
Fabric,New York City,Logistics,120,13/07/22,Series C,NY
ChowNow,Los Angeles,Food,100,13/07/22,Series C,CA
100 Thieves,Los Angeles,Consumer,12,13/07/22,Series C,CA
Nuro,SF Bay Area,Transportation,7,13/07/22,Series D,CA
CircleUp,SF Bay Area,Finance,144,13/07/22,Series C,CA
Papa,Miami,Other,403,13/07/22,Series D,FL
Gopuff,Philadelphia,Food,1500,12/07/22,Series H,PA
Hubilo,SF Bay Area,Marketing,45,12/07/22,Series B,CA
Microsoft,Seattle,Other,403,12/07/22,Post-IPO,WA
Spring,SF Bay Area,Retail,603,12/07/22,Unknown,CA
SundaySky,New York City,Marketing,24,11/07/22,Series D,NY
Apeel Sciences,Santa Barbara,Food,259,11/07/22,Series E,CA
Forward,SF Bay Area,Healthcare,148,11/07/22,Series D,CA
Ignite,SF Bay Area,Crypto,176,11/07/22,Series A,CA
Nextbite,Denver,Food,259,09/07/22,Series C,CO
Butler Hospitality,New York City,Food,1000,08/07/22,Series B,NY
Calibrate,New York City,Healthcare,156,08/07/22,Series B,NY
NextRoll,SF Bay Area,Marketing,83,08/07/22,Unknown,CA
Argo AI,Pittsburgh,Transportation,150,07/07/22,Unknown,PA
Next Insurance,SF Bay Area,Finance,150,07/07/22,Series E,CA
Adwerx,Durham,Marketing,40,07/07/22,Unknown,NC
