company,location,industry,total_laid_off,date,stage,state
Smartsheet,Seattle,Other,85,16/02/23,Post-IPO,WA
Convoy,Atlanta,Logistics,131,16/02/23,Series E,GA
ServiceTitan,Los Angeles,Sales,221,15/02/23,Series G,CA
DigitalOcean,New York City,Infrastructure,200,15/02/23,Post-IPO,NY
Sprinklr,New York City,Support,100,15/02/23,Post-IPO,NY
Betterment,New York City,Finance,28,15/02/23,Series F,NY
Divvy Homes,SF Bay Area,Real Estate,260,15/02/23,Series B,CA
Momentive,SF Bay Area,Marketing,83,15/02/23,Post-IPO,CA
Observe.AI,SF Bay Area,Support,125,15/02/23,Series C,CA
Religion of Sports,Los Angeles,Media,70,15/02/23,Series B,CA
Tackle,Boise,Other,403,15/02/23,Series C,ID
Vicarious Surgical,Boston,Healthcare,148,15/02/23,Post-IPO,MA
CommerceHub,Albany,Retail,371,14/02/23,Acquired,NY
HackerEarth,SF Bay Area,HR,146,14/02/23,Series B,CA
Udemy,SF Bay Area,Education,69,14/02/23,Post-IPO,CA
Twilio,SF Bay Area,Other,1500,13/02/23,Post-IPO,CA
Electric,New York City,Other,141,13/02/23,Series D,NY
EMX Digital,New York City,Marketing,100,13/02/23,Unknown,NY
iRobot,Boston,Consumer,85,13/02/23,Acquired,MA
Collective Health,SF Bay Area,Healthcare,54,13/02/23,Series F,CA
Magic Eden,SF Bay Area,Crypto,22,13/02/23,Series B,CA
LinkedIn,SF Bay Area,HR,146,13/02/23,Acquired,CA
TripleLift,New York City,Marketing,100,10/02/23,Acquired,NY
Rigetti Computing,SF Bay Area,Hardware,1460,10/02/23,Post-IPO,CA
Wonderschool,SF Bay Area,Education,69,10/02/23,Series A,CA
Yahoo,SF Bay Area,Consumer,1600,09/02/23,Acquired,CA
Misfits Market,Philadelphia,Food,649,09/02/23,Series C,PA
Olive AI,Columbus,Healthcare,215,09/02/23,Series H,OH
Oportun,SF Bay Area,Finance,155,09/02/23,Post-IPO,CA
GitLab,SF Bay Area,Product,130,09/02/23,Post-IPO,CA
Bark,New York City,Retail,126,09/02/23,Post-IPO,NY
Nomad Health,New York City,Healthcare,119,09/02/23,Unknown,NY
GitHub,SF Bay Area,Product,56,09/02/23,Acquired,CA
Quillt,St. Louis,Media,70,09/02/23,Unknown,MO
GoDaddy,Phoenix,Marketing,530,08/02/23,Post-IPO,AZ
Affirm,SF Bay Area,Finance,500,08/02/23,Post-IPO,CA
Gusto,SF Bay Area,HR,126,08/02/23,Series E,CA
Gong,SF Bay Area,Sales,80,08/02/23,Series E,CA
Beam Benefits,Columbus,Healthcare,31,08/02/23,Series E,OH
Equitybee,SF Bay Area,Finance,24,08/02/23,Series B,CA
